1,2,3,4,5,6,Timestamp,Entity Name
,,,,,"52,1",2025-09-18 12:30:40,DEV_FARM60_TYPE11_ID6
,"55,40000000000001",,,,,2025-09-18 12:40:35,DEV_FARM60_TYPE11_ID2
,,"49,2",,,,2025-09-18 12:40:37,DEV_FARM60_TYPE11_ID3
,,,"53,3",,,2025-09-18 12:40:38,DEV_FARM60_TYPE11_ID4
,,,,"48,2",,2025-09-18 12:40:39,DEV_FARM60_TYPE11_ID5
,,,,,"49,7",2025-09-18 12:40:40,DEV_FARM60_TYPE11_ID6
,"55,40000000000001",,,,,2025-09-18 12:50:35,DEV_FARM60_TYPE11_ID2
,,"48,6",,,,2025-09-18 12:50:37,DEV_FARM60_TYPE11_ID3
,,,"53,5",,,2025-09-18 12:50:37,DEV_FARM60_TYPE11_ID4
,,,,"47,8",,2025-09-18 12:50:39,DEV_FARM60_TYPE11_ID5
,,,,,"49,2",2025-09-18 12:50:40,DEV_FARM60_TYPE11_ID6
,"55,8",,,,,2025-09-18 13:00:35,DEV_FARM60_TYPE11_ID2
,,"49,5",,,,2025-09-18 13:00:37,DEV_FARM60_TYPE11_ID3
,,,54,,,2025-09-18 13:00:37,DEV_FARM60_TYPE11_ID4
,,,,"48,8",,2025-09-18 13:00:39,DEV_FARM60_TYPE11_ID5
,,,,,"49,7",2025-09-18 13:00:40,DEV_FARM60_TYPE11_ID6
,"56,3",,,,,2025-09-18 13:10:35,DEV_FARM60_TYPE11_ID2
,,"49,5",,,,2025-09-18 13:10:37,DEV_FARM60_TYPE11_ID3
,,,"54,40000000000001",,,2025-09-18 13:10:37,DEV_FARM60_TYPE11_ID4
,,,,"48,5",,2025-09-18 13:10:39,DEV_FARM60_TYPE11_ID5
,,,,,"50,40000000000001",2025-09-18 13:10:40,DEV_FARM60_TYPE11_ID6
,"56,1",,,,,2025-09-18 13:20:36,DEV_FARM60_TYPE11_ID2
,,"49,1",,,,2025-09-18 13:20:37,DEV_FARM60_TYPE11_ID3
,,,"53,90000000000001",,,2025-09-18 13:20:37,DEV_FARM60_TYPE11_ID4
,,,,"48,3",,2025-09-18 13:20:39,DEV_FARM60_TYPE11_ID5
,,,,,"49,1",2025-09-18 13:20:40,DEV_FARM60_TYPE11_ID6
