date;id_rabbit;hour;datetime;THI
2025-06-12;2;12:50:35;2025-06-12 12:50:35;80.43876300000001
2025-06-12;2;13:00:35;2025-06-12 13:00:35;80.61128
2025-06-12;2;13:10:35;2025-06-12 13:10:35;80.38399100000001
2025-06-12;2;13:20:35;2025-06-12 13:20:35;80.14694899999999
2025-06-12;2;13:30:35;2025-06-12 13:30:35;80.152552
2025-06-12;2;13:40:35;2025-06-12 13:40:35;80.71372000000001
2025-06-12;2;13:50:35;2025-06-12 13:50:35;80.538768
2025-06-12;2;14:00:35;2025-06-12 14:00:35;80.448128
2025-06-12;2;14:10:35;2025-06-12 14:10:35;80.420536
2025-06-12;2;14:20:35;2025-06-12 14:20:35;80.402309
2025-06-12;2;14:30:35;2025-06-12 14:30:35;80.292947
2025-06-12;2;14:40:35;2025-06-12 14:40:35;80.085568
2025-06-12;2;14:50:35;2025-06-12 14:50:35;80.32990400000001
2025-06-12;2;15:00:35;2025-06-12 15:00:35;80.239759
2025-06-12;2;15:10:35;2025-06-12 15:10:35;80.484384
2025-06-12;2;15:20:34;2025-06-12 15:20:34;80.239759
2025-06-12;2;15:30:34;2025-06-12 15:30:34;79.92754000000001
2025-06-12;2;15:40:34;2025-06-12 15:40:34;79.707735
2025-06-12;2;15:50:34;2025-06-12 15:50:34;79.65835999999999
2025-06-12;2;16:00:35;2025-06-12 16:00:35;79.826454
2025-06-12;2;16:10:35;2025-06-12 16:10:35;79.55082
2025-06-12;2;16:20:36;2025-06-12 16:20:36;79.46766399999998
2025-06-12;2;16:30:36;2025-06-12 16:30:36;79.145922
2025-06-12;2;16:40:36;2025-06-12 16:40:36;79.011352
2025-06-12;2;16:50:36;2025-06-12 16:50:36;79.045944
2025-06-12;2;17:00:36;2025-06-12 17:00:36;78.937056
2025-06-12;2;17:10:36;2025-06-12 17:10:36;78.85433599999999
2025-06-12;2;17:20:36;2025-06-12 17:20:36;78.608047
2025-06-12;2;17:30:36;2025-06-12 17:30:36;78.277424
2025-06-12;2;17:40:35;2025-06-12 17:40:35;77.99844300000001
2025-06-12;2;17:50:35;2025-06-12 17:50:35;77.847032
2025-06-12;2;18:00:35;2025-06-12 18:00:35;77.774282
2025-06-12;2;18:10:35;2025-06-12 18:10:35;77.85647800000001
2025-06-12;2;18:20:35;2025-06-12 18:20:35;77.76745199999999
2025-06-12;2;18:30:36;2025-06-12 18:30:36;77.568884
2025-06-12;2;18:40:36;2025-06-12 18:40:36;77.26336
2025-06-12;2;18:50:36;2025-06-12 18:50:36;77.166612
2025-06-12;2;19:00:36;2025-06-12 19:00:36;76.97067
2025-06-12;2;19:10:35;2025-06-12 19:10:35;76.935951
2025-06-12;2;19:20:35;2025-06-12 19:20:35;76.71208
2025-06-12;2;19:30:35;2025-06-12 19:30:35;76.67856
2025-06-12;2;19:40:35;2025-06-12 19:40:35;76.4008
2025-06-12;2;19:50:35;2025-06-12 19:50:35;75.943021
2025-06-12;2;20:00:35;2025-06-12 20:00:35;75.67636
2025-06-12;2;20:10:35;2025-06-12 20:10:35;75.70012799999999
2025-06-12;2;20:20:35;2025-06-12 20:20:35;75.740352
2025-06-12;2;20:30:35;2025-06-12 20:30:35;75.721433
2025-06-12;2;20:40:35;2025-06-12 20:40:35;75.27644
2025-06-12;2;20:50:35;2025-06-12 20:50:35;74.377815
2025-06-12;2;21:00:35;2025-06-12 21:00:35;73.63000000000001
2025-06-12;2;21:10:35;2025-06-12 21:10:35;72.98527
2025-06-12;2;21:20:35;2025-06-12 21:20:35;72.379872
2025-06-12;2;21:30:34;2025-06-12 21:30:34;72.108576
2025-06-12;2;21:40:34;2025-06-12 21:40:34;71.97049
2025-06-12;2;21:50:34;2025-06-12 21:50:34;71.81754300000001
2025-06-12;2;22:00:34;2025-06-12 22:00:34;71.64120999999999
2025-06-12;2;22:10:34;2025-06-12 22:10:34;71.67318
2025-06-12;2;22:20:35;2025-06-12 22:20:35;71.153354
2025-06-12;2;22:30:35;2025-06-12 22:30:35;70.69247
2025-06-12;2;22:40:35;2025-06-12 22:40:35;70.850683
2025-06-12;2;22:50:35;2025-06-12 22:50:35;70.96025
2025-06-12;2;23:00:35;2025-06-12 23:00:35;70.80904799999999
2025-06-12;2;23:10:35;2025-06-12 23:10:35;70.4289
2025-06-12;2;23:20:36;2025-06-12 23:20:36;69.98332400000001
2025-06-12;2;23:30:36;2025-06-12 23:30:36;69.33260600000001
2025-06-12;2;23:40:36;2025-06-12 23:40:36;68.706693
2025-06-12;2;23:50:36;2025-06-12 23:50:36;68.42234
2025-06-12;4;11:40:37;2025-06-12 11:40:37;79.940544
2025-06-12;4;11:50:37;2025-06-12 11:50:37;80.11647
2025-06-12;4;12:00:37;2025-06-12 12:00:37;80.124492
2025-06-12;4;12:10:37;2025-06-12 12:10:37;80.219836
2025-06-12;4;12:20:37;2025-06-12 12:20:37;80.48348
2025-06-12;4;12:30:37;2025-06-12 12:30:37;80.63578199999999
