Data,Postazione,Unità,Sensore,Misura
2024-05-28 23:54:09,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),92.2
2024-05-28 23:54:09,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.18
2024-05-28 23:53:07,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.2
2024-05-28 23:53:07,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:53:07,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.2
2024-05-28 23:53:07,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.192
2024-05-28 23:53:06,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),93.4
2024-05-28 23:53:06,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.81
2024-05-28 23:53:06,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.93
2024-05-28 23:52:04,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.2
2024-05-28 23:52:03,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:52:03,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.2
2024-05-28 23:52:03,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.192
2024-05-28 23:52:03,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.05
2024-05-28 23:52:02,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),90.2
2024-05-28 23:52:02,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.79
2024-05-28 23:51:00,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.292
2024-05-28 23:51:00,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.3
2024-05-28 23:51:00,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:51:00,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.3
2024-05-28 23:50:59,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.01
2024-05-28 23:50:59,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),108.8
2024-05-28 23:50:59,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.73
2024-05-28 23:49:57,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.3
2024-05-28 23:49:56,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.1
2024-05-28 23:49:56,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:49:56,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.3
2024-05-28 23:49:56,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.292
2024-05-28 23:49:55,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),99.9
2024-05-28 23:49:55,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.65
2024-05-28 23:48:53,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:48:53,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.3
2024-05-28 23:48:53,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.292
2024-05-28 23:48:53,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.3
2024-05-28 23:48:52,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),92.8
2024-05-28 23:48:52,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.02
2024-05-28 23:48:52,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.3
2024-05-28 23:47:50,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.3
2024-05-28 23:47:49,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.0
2024-05-28 23:47:49,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:47:49,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.3
2024-05-28 23:47:49,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.292
2024-05-28 23:47:48,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),98.5
2024-05-28 23:47:48,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.72
2024-05-28 23:46:46,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.4
2024-05-28 23:46:46,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:46:46,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.4
2024-05-28 23:46:46,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.393
2024-05-28 23:46:45,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.19
2024-05-28 23:46:45,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),87.5
2024-05-28 23:46:45,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.72
2024-05-28 23:45:43,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.4
2024-05-28 23:45:42,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.08
2024-05-28 23:45:42,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:45:42,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.4
2024-05-28 23:45:42,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.393
2024-05-28 23:45:41,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),79.6
2024-05-28 23:45:41,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.94
2024-05-28 23:44:39,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.4
2024-05-28 23:44:39,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.4
2024-05-28 23:44:39,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:44:39,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.393
2024-05-28 23:44:38,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.14
2024-05-28 23:44:38,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),73.3
2024-05-28 23:44:38,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.71
2024-05-28 23:43:36,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.4
2024-05-28 23:43:35,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:43:35,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.4
2024-05-28 23:43:35,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.393
2024-05-28 23:43:35,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.18
2024-05-28 23:43:34,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),85.2
2024-05-28 23:43:34,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.89
2024-05-28 23:42:32,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:42:32,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.5
2024-05-28 23:42:32,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.494
2024-05-28 23:42:32,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.5
2024-05-28 23:42:31,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),82.5
2024-05-28 23:42:31,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.81
2024-05-28 23:42:31,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.0
2024-05-28 23:41:29,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.5
2024-05-28 23:41:28,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:41:28,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.5
2024-05-28 23:41:28,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.93
2024-05-28 23:41:28,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.494
2024-05-28 23:41:27,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),86.5
2024-05-28 23:41:27,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.56
2024-05-28 23:40:25,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-28 23:40:25,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.6
