Data,Postazione,Unità,Sensore,Misura
2024-06-03 23:54:33,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),48.6
2024-06-03 23:54:33,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.7
2024-06-03 23:53:31,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),73.3
2024-06-03 23:53:31,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),19.5
2024-06-03 23:53:31,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),16.225
2024-06-03 23:53:31,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.6
2024-06-03 23:53:30,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),54.9
2024-06-03 23:53:30,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.48
2024-06-03 23:53:30,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.61
2024-06-03 23:52:28,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.5
2024-06-03 23:52:27,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.8
2024-06-03 23:52:27,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),73.1
2024-06-03 23:52:27,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),19.5
2024-06-03 23:52:27,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),16.2
2024-06-03 23:52:26,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),93.0
2024-06-03 23:52:26,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.4
2024-06-03 23:51:24,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),73.0
2024-06-03 23:51:24,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),19.5
2024-06-03 23:51:24,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),16.188
2024-06-03 23:51:24,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.5
2024-06-03 23:51:23,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),2.05
2024-06-03 23:51:23,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),4.8
