Data,Postazione,Unità,Sensore,Misura
2024-06-06 23:54:12,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),82.1
2024-06-06 23:54:12,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.48
2024-06-06 23:53:10,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),19.1
2024-06-06 23:53:10,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),14.353
2024-06-06 23:53:10,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),11.4
2024-06-06 23:53:10,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),61.2
2024-06-06 23:53:09,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),87.2
2024-06-06 23:53:09,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.57
2024-06-06 23:53:09,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.88
2024-06-06 23:52:07,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),11.5
2024-06-06 23:52:06,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),61.4
2024-06-06 23:52:06,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),19.1
2024-06-06 23:52:06,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),14.378
2024-06-06 23:52:06,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.88
2024-06-06 23:52:05,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),95.8
2024-06-06 23:52:05,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.82
2024-06-06 23:51:03,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),11.5
2024-06-06 23:51:03,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),61.6
2024-06-06 23:51:03,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),19.1
2024-06-06 23:51:03,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),14.403
