Data,Postazione,Unità,Sensore,Misura
2024-05-29 23:54:23,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),122.1
2024-05-29 23:54:23,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.21
2024-05-29 23:53:21,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-29 23:53:21,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.2
2024-05-29 23:53:21,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.2
2024-05-29 23:53:21,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.192
2024-05-29 23:53:20,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),123.3
2024-05-29 23:53:20,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.84
2024-05-29 23:53:20,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.05
2024-05-29 23:52:18,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),17.2
2024-05-29 23:52:17,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.47
2024-05-29 23:52:17,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-29 23:52:17,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.2
2024-05-29 23:52:17,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.192
2024-05-29 23:52:16,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),128.0
2024-05-29 23:52:16,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.78
2024-05-29 23:51:14,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2024-05-29 23:51:14,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),17.2
2024-05-29 23:51:14,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),17.192
