datetime,date,hour,dew_point_in,dew_point_out,humidity_in,humidity_out,temperature_in,temperature_out,wet_bulb_in,wet_bulb_out,wind_dir_in,wind_dir_out,wind_gust_in,wind_gust_out,wind_speed_in,wind_speed_out
2024-07-25 00:00:00,2024-07-25,00:00:00,19.0,,66.8,,25.7,,21.131,,,,2.24,,,
2024-07-25 00:00:52,2024-07-25,00:00:52,,18.0,,62.3,,25.7,,20.474,,53.1,,1.68,,1.21
2024-07-25 00:01:04,2024-07-25,00:01:04,19.0,,66.7,,25.7,,21.117,,314.4,,1.62,,1.11,
2024-07-25 00:01:54,2024-07-25,00:01:54,,17.9,,62.2,,25.7,,20.46,,49.2,,1.62,,1.14
2024-07-25 00:02:07,2024-07-25,00:02:07,19.0,,66.9,,25.6,,21.054,,343.6,,1.41,,0.79,
2024-07-25 00:02:58,2024-07-25,00:02:58,,17.9,,62.1,,25.7,,20.445,,35.9,,2.0,,1.4
2024-07-25 00:03:10,2024-07-25,00:03:10,19.0,,67.1,,25.6,,21.082,,310.9,,1.88,,1.07,
2024-07-25 00:04:02,2024-07-25,00:04:02,,17.9,,62.1,,25.7,,20.445,,38.0,,1.71,,0.99
2024-07-25 00:04:14,2024-07-25,00:04:14,19.0,,66.8,,25.6,,21.039,,322.2,,1.42,,0.95,
2024-07-25 00:05:06,2024-07-25,00:05:06,,17.9,,62.1,,25.7,,20.445,,42.5,,1.54,,1.18
2024-07-25 00:05:18,2024-07-25,00:05:18,19.0,,66.8,,25.6,,21.039,,313.8,,2.09,,1.43,
2024-07-25 00:06:08,2024-07-25,00:06:08,,17.8,,62.1,,25.6,,20.354,,37.2,,1.56,,1.07
2024-07-25 00:06:21,2024-07-25,00:06:21,19.0,,66.7,,25.6,,21.025,,330.2,,1.78,,1.09,
2024-07-25 00:07:12,2024-07-25,00:07:12,,17.8,,62.1,,25.6,,20.354,,42.1,,1.2,,0.92
2024-07-25 00:07:24,2024-07-25,00:07:24,19.0,,66.8,,25.6,,21.039,,322.4,,2.16,,1.53,
2024-07-25 00:08:16,2024-07-25,00:08:16,,17.8,,62.1,,25.6,,20.354,,43.8,,1.27,,1.11
2024-07-25 00:08:28,2024-07-25,00:08:28,18.9,,67.0,,25.5,,20.976,,328.6,,1.89,,1.07,
2024-07-25 00:09:20,2024-07-25,00:09:20,,,,,,17.8,,,,25.6,,6.21,,1.79
2024-07-25 00:09:32,2024-07-25,00:09:32,19.0,,67.3,,25.5,,21.019,,329.9,,1.92,,1.03,
2024-07-25 00:10:23,2024-07-25,00:10:23,,17.8,,62.0,,25.6,,20.34,,45.3,,1.79,,1.16
2024-07-25 00:10:35,2024-07-25,00:10:35,19.0,,67.5,,25.5,,21.048,,320.2,,2.11,,1.06,
2024-07-25 00:11:26,2024-07-25,00:11:26,,17.7,,62.0,,25.5,,20.249,,51.7,,1.81,,1.44
2024-07-25 00:11:38,2024-07-25,00:11:38,19.0,,67.5,,25.4,,20.955,,326.2,,1.77,,1.3,
2024-07-25 00:12:30,2024-07-25,00:12:30,,17.7,,62.0,,25.5,,20.249,,53.5,,1.79,,1.38
2024-07-25 00:12:42,2024-07-25,00:12:42,19.0,,67.7,,25.4,,20.984,,337.3,,1.95,,0.64,
2024-07-25 00:13:34,2024-07-25,00:13:34,,17.7,,62.0,,25.5,,20.249,,59.6,,1.73,,1.44
2024-07-25 00:13:46,2024-07-25,00:13:46,19.0,,67.6,,25.4,,20.97,,359.6,,1.69,,0.59,
2024-07-25 00:14:36,2024-07-25,00:14:36,,17.7,,62.0,,25.5,,20.249,,69.1,,1.89,,1.38
2024-07-25 00:14:49,2024-07-25,00:14:49,18.9,,67.6,,25.3,,20.877,,329.8,,1.94,,0.91,
2024-07-25 00:15:40,2024-07-25,00:15:40,,17.6,,62.0,,25.4,,20.158,,65.8,,1.62,,1.36
2024-07-25 00:15:52,2024-07-25,00:15:52,18.9,,67.7,,25.3,,20.892,,316.8,,1.8,,1.04,
2024-07-25 00:16:44,2024-07-25,00:16:44,,17.6,,62.0,,25.4,,20.158,,100.0,,1.35,,0.66
2024-07-25 00:16:56,2024-07-25,00:16:56,18.9,,67.8,,25.3,,20.906,,331.3,,2.01,,1.36,
2024-07-25 00:17:48,2024-07-25,00:17:48,,17.6,,62.0,,25.4,,20.158,,93.9,,1.13,,0.86
2024-07-25 00:18:00,2024-07-25,00:18:00,18.9,,67.9,,25.2,,20.828,,324.4,,1.67,,0.92,
2024-07-25 00:18:51,2024-07-25,00:18:51,,17.6,,62.0,,25.4,,20.158,,99.5,,1.11,,0.55
2024-07-25 00:19:03,2024-07-25,00:19:03,19.0,,68.3,,25.2,,20.885,,322.1,,2.26,,1.49,
2024-07-25 00:19:54,2024-07-25,00:19:54,,17.6,,62.0,,25.4,,20.158,,129.3,,0.86,,0.61
2024-07-25 00:20:06,2024-07-25,00:20:06,19.0,,68.4,,25.2,,20.899,,320.5,,2.41,,0.96,
2024-07-25 00:20:58,2024-07-25,00:20:58,,17.5,,62.0,,25.3,,20.068,,101.5,,0.84,,0.51
2024-07-25 00:21:10,2024-07-25,00:21:10,19.0,,68.8,,25.2,,20.956,,319.4,,1.68,,0.66,
2024-07-25 00:22:02,2024-07-25,00:22:02,,17.5,,62.0,,25.3,,20.068,,83.4,,0.74,,0.59
2024-07-25 00:22:14,2024-07-25,00:22:14,19.0,,68.8,,25.2,,20.956,,319.2,,1.56,,1.15,
2024-07-25 00:23:05,2024-07-25,00:23:05,,17.5,,62.0,,25.3,,20.068,,89.2,,0.95,,0.7
