datetime,date,hour,dew_point_in,dew_point_out,humidity_in,humidity_out,temperature_in,temperature_out,wet_bulb_in,wet_bulb_out,wind_dir_in,wind_dir_out,wind_gust_in,wind_gust_out,wind_speed_in,wind_speed_out
2024-05-28 00:00:16,2024-05-28,00:00:16,,10.7,,70.0,,16.2,,12.741,,94.5,,1.07,,0.69
2024-05-28 00:00:31,2024-05-28,00:00:31,12.3,,72.6,,17.3,,14.071,,150.2,,0.28,,0.23,
2024-05-28 00:01:19,2024-05-28,00:01:19,,10.7,,70.1,,16.2,,12.753,,88.7,,1.17,,0.8
2024-05-28 00:01:34,2024-05-28,00:01:34,12.3,,72.5,,17.3,,14.06,,106.6,,0.35,,0.29,
2024-05-28 00:02:22,2024-05-28,00:02:22,,10.7,,70.1,,16.2,,12.753,,88.8,,1.14,,0.68
2024-05-28 00:02:38,2024-05-28,00:02:38,12.3,,72.4,,17.3,,14.048,,116.0,,0.35,,0.23,
2024-05-28 00:03:26,2024-05-28,00:03:26,,10.7,,70.1,,16.2,,12.753,,88.3,,1.1,,0.76
2024-05-28 00:03:42,2024-05-28,00:03:42,12.3,,72.7,,17.3,,14.083,,132.3,,0.25,,0.11,
2024-05-28 00:04:30,2024-05-28,00:04:30,,10.6,,70.1,,16.1,,12.66,,88.8,,1.11,,0.86
2024-05-28 00:04:46,2024-05-28,00:04:46,12.3,,72.8,,17.3,,14.095,,109.8,,0.34,,0.22,
2024-05-28 00:05:33,2024-05-28,00:05:33,,10.7,,70.2,,16.1,,12.671,,105.7,,1.07,,0.87
2024-05-28 00:05:49,2024-05-28,00:05:49,12.4,,73.0,,17.3,,14.118,,107.6,,0.22,,0.1,
2024-05-28 00:06:36,2024-05-28,00:06:36,,10.7,,70.2,,16.1,,12.671,,87.7,,0.84,,0.63
2024-05-28 00:06:52,2024-05-28,00:06:52,12.5,,73.5,,17.3,,14.177,,145.7,,0.27,,0.21,
2024-05-28 00:07:40,2024-05-28,00:07:40,,10.7,,70.3,,16.1,,12.682,,94.8,,0.76,,0.48
2024-05-28 00:07:56,2024-05-28,00:07:56,12.6,,74.4,,17.2,,14.188,,315.8,,2.09,,0.93,
2024-05-28 00:08:44,2024-05-28,00:08:44,,10.7,,70.3,,16.1,,12.682,,107.9,,0.9,,0.65
2024-05-28 00:09:00,2024-05-28,00:09:00,12.5,,74.5,,17.1,,14.105,,313.6,,1.69,,1.48,
2024-05-28 00:09:47,2024-05-28,00:09:47,,10.7,,70.3,,16.1,,12.682,,117.6,,1.31,,0.61
2024-05-28 00:10:03,2024-05-28,00:10:03,12.5,,75.2,,16.9,,13.997,,318.7,,2.05,,0.87,
2024-05-28 00:10:50,2024-05-28,00:10:50,,10.6,,70.4,,16.0,,12.6,,110.2,,1.2,,0.56
2024-05-28 00:11:06,2024-05-28,00:11:06,12.7,,76.3,,16.9,,14.125,,317.1,,0.58,,0.21,
2024-05-28 00:11:54,2024-05-28,00:11:54,,10.6,,70.4,,16.0,,12.6,,101.4,,1.3,,0.61
2024-05-28 00:12:10,2024-05-28,00:12:10,12.8,,76.7,,16.9,,14.171,,305.8,,0.26,,0.1,
2024-05-28 00:12:58,2024-05-28,00:12:58,,10.6,,70.5,,16.0,,12.612,,98.8,,0.71,,0.35
2024-05-28 00:13:14,2024-05-28,00:13:14,12.9,,76.8,,17.0,,14.278,,305.8,,0.17,,0.1,
2024-05-28 00:14:01,2024-05-28,00:14:01,,10.6,,70.5,,16.0,,12.612,,90.2,,0.79,,0.39
2024-05-28 00:14:17,2024-05-28,00:14:17,12.9,,76.7,,17.0,,14.266,,101.8,,0.24,,0.12,
2024-05-28 00:15:04,2024-05-28,00:15:04,,10.6,,70.5,,16.0,,12.612,,66.6,,0.93,,0.81
2024-05-28 00:15:20,2024-05-28,00:15:20,12.9,,76.9,,17.0,,14.29,,101.8,,0.17,,0.06,
2024-05-28 00:16:08,2024-05-28,00:16:08,,10.6,,70.6,,16.0,,12.623,,58.4,,0.82,,0.47
2024-05-28 00:16:24,2024-05-28,00:16:24,12.9,,76.6,,17.0,,14.255,,101.8,,0.17,,0.16,
2024-05-28 00:17:12,2024-05-28,00:17:12,,10.6,,70.6,,16.0,,12.623,,50.8,,0.83,,0.7
2024-05-28 00:17:28,2024-05-28,00:17:28,12.8,,76.2,,17.0,,14.208,,345.9,,0.4,,0.36,
2024-05-28 00:18:15,2024-05-28,00:18:15,,10.6,,70.5,,16.0,,12.612,,70.6,,1.0,,0.89
2024-05-28 00:18:31,2024-05-28,00:18:31,12.6,,75.2,,17.0,,14.092,,2.3,,0.56,,0.47,
2024-05-28 00:19:18,2024-05-28,00:19:18,,10.5,,70.5,,15.9,,12.518,,67.2,,1.27,,1.11
2024-05-28 00:19:34,2024-05-28,00:19:34,12.3,,74.4,,16.9,,13.904,,26.0,,0.55,,0.28,
2024-05-28 00:20:22,2024-05-28,00:20:22,,10.4,,70.5,,15.8,,12.425,,78.6,,1.28,,1.14
