datetime,date,hour,dew_point_in,dew_point_out,humidity_in,humidity_out,temperature_in,temperature_out,wet_bulb_in,wet_bulb_out,wind_dir_in,wind_dir_out,wind_gust_in,wind_gust_out,wind_speed_in,wind_speed_out
2025-09-24 00:00:48,2025-09-24,00:00:48,1310.8,18.4,0.0,90.9,20.4,20.0,6.295,18.883,313.3,321.5,2.03,0.55,1.03,0.52
2025-09-24 00:01:51,2025-09-24,00:01:51,1310.8,,0.0,,20.3,,6.253,,332.1,,1.86,,1.37,
2025-09-24 00:01:52,2025-09-24,00:01:52,,18.6,,91.7,,20.0,,18.982,,325.7,,0.62,,0.57
2025-09-24 00:02:54,2025-09-24,00:02:54,1310.8,,0.0,,20.3,,6.253,,327.6,,1.83,,1.27,
2025-09-24 00:02:55,2025-09-24,00:02:55,,18.8,,92.7,,20.0,,19.106,,324.7,,0.97,,0.88
2025-09-24 00:03:58,2025-09-24,00:03:58,1310.8,19.0,0.0,94.3,20.2,20.0,6.212,19.304,316.5,327.4,1.68,0.93,1.31,0.75
2025-09-24 00:05:02,2025-09-24,00:05:02,1310.8,19.4,0.0,96.3,20.2,20.0,6.212,19.552,321.2,310.3,1.76,0.97,0.85,0.92
2025-09-24 00:06:05,2025-09-24,00:06:05,1310.8,,0.0,,20.2,,6.212,,324.9,,2.08,,0.85,
2025-09-24 00:06:06,2025-09-24,00:06:06,,19.7,,98.4,,20.0,,19.813,,294.1,,1.05,,0.55
2025-09-24 00:07:08,2025-09-24,00:07:08,1310.8,,0.0,,20.2,,6.212,,322.1,,1.9,,1.18,
2025-09-24 00:07:09,2025-09-24,00:07:09,,19.9,,99.6,,20.0,,19.962,,320.1,,0.91,,0.59
2025-09-24 00:08:12,2025-09-24,00:08:12,1310.8,20.0,0.0,100.0,20.2,20.0,6.212,20.012,315.1,306.3,1.94,0.92,1.27,0.64
2025-09-24 00:09:16,2025-09-24,00:09:16,1310.8,19.9,0.0,100.0,20.2,19.9,6.212,19.911,318.7,315.9,1.87,0.83,1.17,0.48
2025-09-24 00:10:19,2025-09-24,00:10:19,1310.8,,0.0,,20.2,,6.212,,334.8,,1.59,,0.95,
2025-09-24 00:10:20,2025-09-24,00:10:20,,19.9,,100.0,,19.9,,19.911,,9.2,,0.61,,0.27
2025-09-24 00:11:22,2025-09-24,00:11:22,1310.8,,0.0,,20.2,,6.212,,329.0,,1.8,,1.17,
2025-09-24 00:11:23,2025-09-24,00:11:23,,19.9,,100.0,,19.9,,19.911,,38.3,,0.34,,0.06
2025-09-24 00:12:26,2025-09-24,00:12:26,1310.8,19.9,0.0,100.0,20.2,19.9,6.212,19.911,333.1,347.8,2.02,0.37,0.97,0.31
2025-09-24 00:13:30,2025-09-24,00:13:30,1310.8,19.8,0.0,100.0,20.1,19.9,6.17,19.911,323.6,347.9,1.9,0.58,1.2,0.5
2025-09-24 00:14:33,2025-09-24,00:14:33,1310.8,,0.0,,20.1,,6.17,,326.7,,1.86,,1.05,
2025-09-24 00:14:34,2025-09-24,00:14:34,,19.8,,100.0,,19.8,,19.81,,1.9,,0.61,,0.39
2025-09-24 00:15:36,2025-09-24,00:15:36,1310.8,,0.0,,20.1,,6.17,,317.4,,2.12,,1.23,
2025-09-24 00:15:37,2025-09-24,00:15:37,,19.8,,100.0,,19.8,,19.81,,351.5,,0.58,,0.47
2025-09-24 00:16:40,2025-09-24,00:16:40,1310.8,19.8,0.0,100.0,20.0,19.8,6.129,19.81,319.0,355.4,2.01,0.62,1.4,0.52
2025-09-24 00:17:44,2025-09-24,00:17:44,1310.8,19.8,0.0,100.0,20.0,19.8,6.129,19.81,320.2,344.5,2.02,0.59,1.24,0.17
2025-09-24 00:18:47,2025-09-24,00:18:47,1310.8,,0.0,,20.0,,6.129,,330.3,,1.89,,1.06,
2025-09-24 00:18:48,2025-09-24,00:18:48,,19.8,,100.0,,19.8,,19.81,,358.2,,0.53,,0.36
2025-09-24 00:19:50,2025-09-24,00:19:50,1310.8,,0.0,,20.0,,6.129,,323.6,,1.93,,1.26,
2025-09-24 00:19:51,2025-09-24,00:19:51,,19.7,,100.0,,19.7,,19.709,,2.5,,0.72,,0.52
2025-09-24 00:20:54,2025-09-24,00:20:54,1310.8,19.8,0.0,100.0,20.0,19.8,6.129,19.81,312.5,339.9,2.05,0.84,1.05,0.26
2025-09-24 00:21:58,2025-09-24,00:21:58,1310.8,19.7,0.0,100.0,20.0,19.7,6.129,19.709,328.0,357.8,1.91,0.49,0.93,0.4
2025-09-24 00:23:01,2025-09-24,00:23:01,1310.8,,0.0,,20.0,,6.129,,321.9,,2.36,,1.39,
2025-09-24 00:23:02,2025-09-24,00:23:02,,19.7,,100.0,,19.7,,19.709,,357.5,,0.53,,0.35
2025-09-24 00:24:04,2025-09-24,00:24:04,1310.8,,0.0,,19.9,,6.087,,321.5,,1.81,,1.33,
2025-09-24 00:24:05,2025-09-24,00:24:05,,19.7,,100.0,,19.7,,19.709,,13.9,,0.67,,0.53
2025-09-24 00:25:08,2025-09-24,00:25:08,1310.8,,0.0,,19.9,,6.087,,311.3,,1.74,,1.21,
2025-09-24 00:25:09,2025-09-24,00:25:09,,19.7,,100.0,,19.7,,19.709,,20.6,,0.61,,0.28
2025-09-24 00:26:12,2025-09-24,00:26:12,1310.8,19.7,0.0,100.0,19.9,19.7,6.087,19.709,322.0,37.5,2.04,0.51,1.12,0.35
2025-09-24 00:27:15,2025-09-24,00:27:15,1310.8,,0.0,,19.9,,6.087,,321.5,,2.05,,1.15,
2025-09-24 00:27:16,2025-09-24,00:27:16,,19.7,,100.0,,19.7,,19.709,,36.5,,0.74,,0.37
2025-09-24 00:28:18,2025-09-24,00:28:18,1310.8,,0.0,,19.8,,6.046,,318.2,,2.1,,1.35,
2025-09-24 00:28:19,2025-09-24,00:28:19,,19.7,,100.0,,19.7,,19.709,,32.9,,0.7,,0.54
2025-09-24 00:29:22,2025-09-24,00:29:22,1310.8,19.7,0.0,100.0,19.9,19.7,6.087,19.709,322.0,48.8,2.25,0.68,1.24,0.48
2025-09-24 00:30:26,2025-09-24,00:30:26,1310.8,19.7,0.0,100.0,19.9,19.7,6.087,19.709,329.7,55.0,1.91,0.66,1.16,0.58
2025-09-24 00:31:29,2025-09-24,00:31:29,1310.8,,0.0,,19.9,,6.087,,325.3,,2.02,,1.43,
2025-09-24 00:31:30,2025-09-24,00:31:30,,19.7,,100.0,,19.7,,19.709,,54.4,,0.8,,0.77
2025-09-24 00:32:32,2025-09-24,00:32:32,1310.8,,0.0,,19.9,,6.087,,322.4,,1.91,,1.25,
2025-09-24 00:32:33,2025-09-24,00:32:33,,19.8,,100.0,,19.8,,19.81,,59.3,,0.79,,0.67
2025-09-24 00:33:36,2025-09-24,00:33:36,1310.8,19.8,0.0,100.0,19.9,19.8,6.087,19.81,334.9,77.4,2.1,0.74,0.78,0.58
2025-09-24 00:34:40,2025-09-24,00:34:40,1310.8,19.8,0.0,100.0,19.9,19.8,6.087,19.81,322.6,89.8,2.18,0.59,1.67,0.5
2025-09-24 00:35:43,2025-09-24,00:35:43,1310.8,,0.0,,19.9,,6.087,,318.3,,2.08,,1.63,
2025-09-24 00:35:44,2025-09-24,00:35:44,,19.8,,100.0,,19.8,,19.81,,63.0,,0.68,,0.63
2025-09-24 00:36:46,2025-09-24,00:36:46,1310.8,,0.0,,19.9,,6.087,,320.7,,2.47,,1.48,
2025-09-24 00:36:48,2025-09-24,00:36:48,,19.8,,100.0,,19.8,,19.81,,69.5,,0.67,,0.47
2025-09-24 00:37:50,2025-09-24,00:37:50,1310.8,,0.0,,19.9,,6.087,,316.9,,2.09,,1.56,
2025-09-24 00:37:51,2025-09-24,00:37:51,,19.8,,100.0,,19.8,,19.81,,63.0,,0.67,,0.63
2025-09-24 00:38:54,2025-09-24,00:38:54,1310.8,19.9,0.0,100.0,19.9,19.9,6.087,19.911,339.5,74.3,2.04,0.71,0.87,0.62
2025-09-24 00:39:57,2025-09-24,00:39:57,1310.8,,0.0,,19.9,,6.087,,317.1,,2.04,,1.49,
2025-09-24 00:39:58,2025-09-24,00:39:58,,19.9,,100.0,,19.9,,19.911,,88.3,,0.69,,0.65
2025-09-24 00:41:00,2025-09-24,00:41:00,1310.8,,0.0,,20.0,,6.129,,328.6,,2.02,,1.25,
2025-09-24 00:41:02,2025-09-24,00:41:02,,19.9,,100.0,,19.9,,19.911,,89.2,,0.76,,0.67
2025-09-24 00:42:04,2025-09-24,00:42:04,1310.8,,0.0,,20.0,,6.129,,331.4,,2.21,,0.99,
2025-09-24 00:42:05,2025-09-24,00:42:05,,19.9,,100.0,,19.9,,19.911,,91.8,,0.89,,0.69
2025-09-24 00:43:08,2025-09-24,00:43:08,1310.8,19.9,0.0,100.0,19.9,19.9,6.087,19.911,321.7,91.0,2.46,0.87,1.9,0.75
2025-09-24 00:44:11,2025-09-24,00:44:11,1310.8,,0.0,,19.9,,6.087,,330.2,,1.98,,1.45,
2025-09-24 00:44:12,2025-09-24,00:44:12,,19.9,,100.0,,19.9,,19.911,,80.0,,0.97,,0.87
