datetime,date,hour,dew_point_in,dew_point_out,humidity_in,humidity_out,temperature_in,temperature_out,wet_bulb_in,wet_bulb_out,wind_dir_in,wind_dir_out,wind_gust_in,wind_gust_out,wind_speed_in,wind_speed_out
2025-06-19 00:00:12,2025-06-19,00:00:12,,21.7,,100.0,,21.7,,21.724,,198.9,,0.99,,0.52
2025-06-19 00:00:29,2025-06-19,00:00:29,1310.8,,0.0,,22.5,,7.167,,329.4,,0.52,,0.77,
2025-06-19 00:01:16,2025-06-19,00:01:16,,21.7,,100.0,,21.7,,21.724,,174.9,,0.46,,0.35
2025-06-19 00:02:00,2025-06-19,00:02:00,1310.8,,0.0,,22.4,,7.125,,329.4,,0.52,,0.77,
2025-06-19 00:02:19,2025-06-19,00:02:19,,21.7,,100.0,,21.7,,21.724,,152.8,,0.43,,0.34
2025-06-19 00:03:04,2025-06-19,00:03:04,1310.8,,0.0,,22.4,,7.125,,329.4,,0.52,,0.77,
2025-06-19 00:03:22,2025-06-19,00:03:22,,21.7,,100.0,,21.7,,21.724,,163.7,,0.77,,0.46
2025-06-19 00:04:08,2025-06-19,00:04:08,1310.8,,0.0,,22.4,,7.125,,329.4,,0.52,,0.77,
2025-06-19 00:04:26,2025-06-19,00:04:26,,21.7,,100.0,,21.7,,21.724,,178.6,,0.53,,0.21
2025-06-19 00:05:10,2025-06-19,00:05:10,1310.8,,0.0,,22.4,,7.125,,329.4,,0.52,,0.77,
2025-06-19 00:05:30,2025-06-19,00:05:30,,21.7,,100.0,,21.7,,21.724,,114.2,,0.37,,0.1
2025-06-19 00:06:14,2025-06-19,00:06:14,1310.8,,0.0,,22.4,,7.125,,329.4,,0.52,,0.77,
2025-06-19 00:06:33,2025-06-19,00:06:33,,21.7,,100.0,,21.7,,21.724,,262.3,,0.34,,0.2
2025-06-19 00:07:18,2025-06-19,00:07:18,1310.8,,0.0,,22.3,,7.084,,329.4,,0.52,,0.77,
2025-06-19 00:07:36,2025-06-19,00:07:36,,21.7,,100.0,,21.7,,21.724,,75.3,,0.58,,0.5
2025-06-19 00:08:22,2025-06-19,00:08:22,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:08:40,2025-06-19,00:08:40,,21.6,,100.0,,21.6,,21.623,,81.4,,0.78,,0.72
2025-06-19 00:09:24,2025-06-19,00:09:24,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:09:44,2025-06-19,00:09:44,,21.6,,100.0,,21.6,,21.623,,101.3,,0.72,,0.57
2025-06-19 00:10:28,2025-06-19,00:10:28,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:10:47,2025-06-19,00:10:47,,21.6,,100.0,,21.6,,21.623,,145.4,,0.68,,0.45
2025-06-19 00:11:32,2025-06-19,00:11:32,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:11:50,2025-06-19,00:11:50,,21.6,,100.0,,21.6,,21.623,,163.3,,0.53,,0.24
2025-06-19 00:12:36,2025-06-19,00:12:36,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:12:54,2025-06-19,00:12:54,,21.6,,100.0,,21.6,,21.623,,157.9,,1.01,,0.56
2025-06-19 00:13:39,2025-06-19,00:13:39,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:13:58,2025-06-19,00:13:58,,21.6,,100.0,,21.6,,21.623,,141.6,,1.06,,0.97
2025-06-19 00:14:42,2025-06-19,00:14:42,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:15:01,2025-06-19,00:15:01,,21.6,,100.0,,21.6,,21.623,,151.1,,1.28,,1.14
2025-06-19 00:15:46,2025-06-19,00:15:46,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:16:04,2025-06-19,00:16:04,,21.6,,100.0,,21.6,,21.623,,137.5,,1.33,,0.98
2025-06-19 00:16:50,2025-06-19,00:16:50,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:17:08,2025-06-19,00:17:08,,21.6,,100.0,,21.6,,21.623,,142.8,,1.44,,1.27
2025-06-19 00:17:53,2025-06-19,00:17:53,1310.8,,0.0,,22.2,,7.042,,329.4,,0.52,,0.77,
2025-06-19 00:18:12,2025-06-19,00:18:12,,21.5,,100.0,,21.5,,21.522,,131.6,,1.48,,1.3
