datetime,date,hour,dew_point_in,dew_point_out,humidity_in,humidity_out,temperature_in,temperature_out,wet_bulb_in,wet_bulb_out,wind_dir_in,wind_dir_out,wind_gust_in,wind_gust_out,wind_speed_in,wind_speed_out
2025-06-12 00:00:21,2025-06-12,00:00:21,1310.8,,0.0,,21.1,,6.586,,337.9,,1.36,,0.85,
2025-06-12 00:00:38,2025-06-12,00:00:38,,16.0,,73.3,,20.9,,17.543,,12.5,,0.81,,0.73
2025-06-12 00:01:24,2025-06-12,00:01:24,1310.8,,0.0,,21.0,,6.544,,326.1,,1.36,,0.78,
2025-06-12 00:01:41,2025-06-12,00:01:41,,16.0,,73.3,,20.9,,17.543,,33.9,,0.82,,0.71
2025-06-12 00:02:28,2025-06-12,00:02:28,1310.8,,0.0,,21.0,,6.544,,342.6,,1.37,,0.5,
2025-06-12 00:02:44,2025-06-12,00:02:44,,15.9,,73.3,,20.8,,17.449,,45.3,,1.29,,0.89
2025-06-12 00:03:32,2025-06-12,00:03:32,1310.8,,0.0,,21.0,,6.544,,328.6,,1.19,,0.89,
2025-06-12 00:03:48,2025-06-12,00:03:48,,15.9,,73.3,,20.8,,17.449,,45.0,,1.22,,0.92
2025-06-12 00:04:35,2025-06-12,00:04:35,1310.8,,0.0,,20.9,,6.503,,322.0,,1.53,,1.05,
2025-06-12 00:04:52,2025-06-12,00:04:52,,,,,,15.9,,,,45.3,,1.22,,0.92
2025-06-12 00:05:38,2025-06-12,00:05:38,1310.8,,0.0,,20.9,,6.503,,331.2,,1.4,,0.86,
2025-06-12 00:05:55,2025-06-12,00:05:55,,15.9,,73.5,,20.8,,17.474,,42.6,,1.25,,0.98
2025-06-12 00:06:42,2025-06-12,00:06:42,1310.8,,0.0,,20.9,,6.503,,321.2,,1.48,,0.83,
2025-06-12 00:06:58,2025-06-12,00:06:58,,15.9,,73.5,,20.8,,17.474,,16.8,,1.3,,0.88
2025-06-12 00:07:46,2025-06-12,00:07:46,1310.8,,0.0,,20.9,,6.503,,333.5,,1.53,,0.74,
2025-06-12 00:08:02,2025-06-12,00:08:02,,15.8,,73.5,,20.7,,17.38,,24.7,,1.12,,0.81
2025-06-12 00:08:49,2025-06-12,00:08:49,1310.8,,0.0,,20.9,,6.503,,331.8,,1.39,,0.65,
2025-06-12 00:09:06,2025-06-12,00:09:06,,15.9,,73.6,,20.8,,17.487,,32.9,,1.11,,0.86
2025-06-12 00:09:52,2025-06-12,00:09:52,1310.8,,0.0,,21.0,,6.544,,328.7,,1.25,,0.64,
2025-06-12 00:10:09,2025-06-12,00:10:09,,15.8,,73.6,,20.7,,17.393,,36.6,,1.07,,0.87
2025-06-12 00:10:56,2025-06-12,00:10:56,1310.8,,0.0,,20.9,,6.503,,325.8,,1.75,,1.13,
2025-06-12 00:11:12,2025-06-12,00:11:12,,15.8,,73.6,,20.7,,17.393,,46.9,,1.2,,1.0
2025-06-12 00:12:00,2025-06-12,00:12:00,1310.8,,0.0,,20.9,,6.503,,329.3,,1.39,,0.81,
2025-06-12 00:12:16,2025-06-12,00:12:16,,15.8,,73.6,,20.7,,17.393,,52.4,,1.2,,1.0
