datetime,date,hour,dew_point_in,dew_point_out,humidity_in,humidity_out,temperature_in,temperature_out,wet_bulb_in,wet_bulb_out,wind_dir_in,wind_dir_out,wind_gust_in,wind_gust_out,wind_speed_in,wind_speed_out
2025-06-15 00:00:16,2025-06-15,00:00:16,,14.0,,62.2,,21.6,,16.744,,57.4,,1.47,,1.3
2025-06-15 00:00:59,2025-06-15,00:00:59,1310.8,,0.0,,21.5,,6.752,,331.5,,1.47,,1.05,
2025-06-15 00:01:20,2025-06-15,00:01:20,,14.0,,62.3,,21.6,,16.757,,47.7,,1.53,,1.24
2025-06-15 00:02:02,2025-06-15,00:02:02,1310.8,,0.0,,21.5,,6.752,,339.1,,1.51,,0.68,
2025-06-15 00:02:24,2025-06-15,00:02:24,,14.1,,62.5,,21.6,,16.784,,54.8,,1.67,,1.26
2025-06-15 00:03:06,2025-06-15,00:03:06,1310.8,,0.0,,21.5,,6.752,,329.2,,1.72,,1.21,
2025-06-15 00:03:27,2025-06-15,00:03:27,,14.1,,62.7,,21.5,,16.719,,57.4,,1.64,,1.05
2025-06-15 00:04:10,2025-06-15,00:04:10,1310.8,,0.0,,21.4,,6.71,,329.3,,1.75,,1.03,
2025-06-15 00:04:30,2025-06-15,00:04:30,,14.1,,62.8,,21.5,,16.733,,51.3,,1.46,,1.22
2025-06-15 00:05:13,2025-06-15,00:05:13,1310.8,,0.0,,21.4,,6.71,,335.1,,1.38,,0.93,
2025-06-15 00:05:34,2025-06-15,00:05:34,,14.1,,63.0,,21.5,,16.759,,41.0,,1.38,,1.07
2025-06-15 00:06:16,2025-06-15,00:06:16,1310.8,,0.0,,21.3,,6.669,,321.3,,1.46,,1.0,
2025-06-15 00:06:38,2025-06-15,00:06:38,,14.2,,63.2,,21.5,,16.786,,46.7,,1.65,,1.46
2025-06-15 00:07:20,2025-06-15,00:07:20,1310.8,,0.0,,21.3,,6.669,,333.0,,1.57,,0.88,
2025-06-15 00:07:41,2025-06-15,00:07:41,,14.1,,63.3,,21.4,,16.708,,45.1,,1.79,,1.55
2025-06-15 00:08:24,2025-06-15,00:08:24,1310.8,,0.0,,21.3,,6.669,,337.9,,1.41,,0.97,
2025-06-15 00:08:44,2025-06-15,00:08:44,,14.2,,63.5,,21.4,,16.734,,46.6,,1.76,,1.45
2025-06-15 00:09:27,2025-06-15,00:09:27,1310.8,,0.0,,21.3,,6.669,,349.0,,1.1,,0.69,
2025-06-15 00:09:48,2025-06-15,00:09:48,,14.2,,63.6,,21.4,,16.748,,47.4,,1.81,,1.16
2025-06-15 00:10:30,2025-06-15,00:10:30,1310.8,,0.0,,21.3,,6.669,,337.7,,1.7,,0.81,
2025-06-15 00:10:52,2025-06-15,00:10:52,,14.1,,63.8,,21.3,,16.683,,60.9,,1.86,,1.32
2025-06-15 00:11:34,2025-06-15,00:11:34,1310.8,,0.0,,21.3,,6.669,,333.5,,1.56,,1.12,
2025-06-15 00:11:55,2025-06-15,00:11:55,,14.2,,64.0,,21.3,,16.709,,62.6,,1.89,,1.68
2025-06-15 00:12:38,2025-06-15,00:12:38,1310.8,,0.0,,21.2,,6.627,,349.3,,1.75,,0.62,
2025-06-15 00:12:58,2025-06-15,00:12:58,,14.2,,64.1,,21.3,,16.722,,59.1,,1.96,,1.38
2025-06-15 00:13:41,2025-06-15,00:13:41,1310.8,,0.0,,21.2,,6.627,,337.1,,1.4,,0.83,
2025-06-15 00:14:02,2025-06-15,00:14:02,,14.3,,64.3,,21.3,,16.749,,51.9,,2.11,,1.78
2025-06-15 00:14:44,2025-06-15,00:14:44,1310.8,,0.0,,21.2,,6.627,,323.5,,1.39,,0.85,
2025-06-15 00:15:06,2025-06-15,00:15:06,,14.2,,64.4,,21.3,,16.762,,51.4,,2.15,,1.67
2025-06-15 00:15:48,2025-06-15,00:15:48,1310.8,,0.0,,21.2,,6.627,,336.4,,1.35,,1.03,
2025-06-15 00:16:09,2025-06-15,00:16:09,,14.2,,64.6,,21.2,,16.697,,47.9,,2.15,,1.53
2025-06-15 00:16:52,2025-06-15,00:16:52,1310.8,,0.0,,21.2,,6.627,,338.6,,1.31,,0.95,
2025-06-15 00:17:12,2025-06-15,00:17:12,,14.2,,64.6,,21.2,,16.697,,42.8,,1.59,,1.11
2025-06-15 00:17:56,2025-06-15,00:17:56,1310.8,,0.0,,21.1,,6.586,,330.0,,1.61,,0.6,
2025-06-15 00:18:16,2025-06-15,00:18:16,,14.2,,64.7,,21.1,,16.618,,48.5,,1.5,,0.99
2025-06-15 00:18:58,2025-06-15,00:18:58,1310.8,,0.0,,21.1,,6.586,,330.2,,1.26,,0.98,
2025-06-15 00:19:20,2025-06-15,00:19:20,,14.2,,64.8,,21.1,,16.631,,54.9,,1.91,,1.45
2025-06-15 00:20:02,2025-06-15,00:20:02,1310.8,,0.0,,21.0,,6.544,,348.7,,1.5,,0.72,
2025-06-15 00:20:23,2025-06-15,00:20:23,,14.2,,65.0,,21.1,,16.657,,58.0,,2.24,,1.84
2025-06-15 00:21:06,2025-06-15,00:21:06,1310.8,,0.0,,21.0,,6.544,,321.3,,1.57,,1.01,
2025-06-15 00:21:26,2025-06-15,00:21:26,,14.3,,65.1,,21.1,,16.67,,64.5,,2.28,,1.76
2025-06-15 00:22:10,2025-06-15,00:22:10,1310.8,,0.0,,21.0,,6.544,,338.5,,1.46,,0.92,
2025-06-15 00:22:30,2025-06-15,00:22:30,,14.3,,65.3,,21.1,,16.697,,60.8,,2.27,,1.77
2025-06-15 00:23:12,2025-06-15,00:23:12,1310.8,,0.0,,21.0,,6.544,,327.8,,1.97,,0.98,
2025-06-15 00:23:34,2025-06-15,00:23:34,,14.2,,65.3,,21.0,,16.605,,65.3,,2.07,,1.77
2025-06-15 00:24:16,2025-06-15,00:24:16,1310.8,,0.0,,21.0,,6.544,,330.8,,1.86,,0.94,
2025-06-15 00:24:37,2025-06-15,00:24:37,,14.3,,65.5,,21.0,,16.631,,63.9,,2.52,,1.72
2025-06-15 00:25:20,2025-06-15,00:25:20,1310.8,,0.0,,21.0,,6.544,,342.0,,2.6,,0.67,
2025-06-15 00:25:40,2025-06-15,00:25:40,,14.3,,65.6,,21.0,,16.644,,64.7,,2.42,,1.77
2025-06-15 00:26:23,2025-06-15,00:26:23,1310.8,,0.0,,20.9,,6.503,,328.8,,2.05,,1.0,
2025-06-15 00:26:44,2025-06-15,00:26:44,,14.3,,65.6,,21.0,,16.644,,56.4,,2.16,,1.66
2025-06-15 00:27:26,2025-06-15,00:27:26,1310.8,,0.0,,20.9,,6.503,,331.2,,1.46,,0.95,
2025-06-15 00:27:48,2025-06-15,00:27:48,,14.3,,65.8,,21.0,,16.67,,60.3,,2.37,,1.62
2025-06-15 00:28:30,2025-06-15,00:28:30,1310.8,,0.0,,20.9,,6.503,,347.7,,1.78,,0.66,
2025-06-15 00:28:51,2025-06-15,00:28:51,,14.3,,65.8,,21.0,,16.67,,59.3,,2.35,,1.71
2025-06-15 00:29:34,2025-06-15,00:29:34,1310.8,,0.0,,20.9,,6.503,,332.9,,1.68,,1.0,
2025-06-15 00:29:54,2025-06-15,00:29:54,,14.4,,65.9,,21.0,,16.683,,58.4,,2.26,,1.65
2025-06-15 00:30:37,2025-06-15,00:30:37,1310.8,,0.0,,20.9,,6.503,,325.8,,1.78,,1.4,
2025-06-15 00:30:58,2025-06-15,00:30:58,,14.4,,66.0,,21.0,,16.696,,61.3,,2.52,,2.18
2025-06-15 00:31:40,2025-06-15,00:31:40,1310.8,,0.0,,20.9,,6.503,,328.8,,2.46,,1.2,
2025-06-15 00:32:02,2025-06-15,00:32:02,,14.4,,65.9,,21.0,,16.683,,62.8,,2.24,,1.74
2025-06-15 00:32:44,2025-06-15,00:32:44,1310.8,,0.0,,21.0,,6.544,,324.9,,2.09,,1.51,
2025-06-15 00:33:05,2025-06-15,00:33:05,,14.4,,65.9,,21.0,,16.683,,53.9,,2.39,,1.25
2025-06-15 00:33:48,2025-06-15,00:33:48,1310.8,,0.0,,21.0,,6.544,,321.2,,2.44,,1.03,
2025-06-15 00:34:08,2025-06-15,00:34:08,,14.4,,65.8,,21.1,,16.762,,54.7,,1.86,,1.47
2025-06-15 00:34:51,2025-06-15,00:34:51,1310.8,,0.0,,21.0,,6.544,,332.6,,2.09,,1.02,
2025-06-15 00:35:12,2025-06-15,00:35:12,,14.3,,65.8,,21.0,,16.67,,42.0,,1.86,,1.23
2025-06-15 00:35:55,2025-06-15,00:35:55,1310.8,,0.0,,21.1,,6.586,,326.3,,1.86,,1.43,
2025-06-15 00:36:16,2025-06-15,00:36:16,,14.3,,65.8,,21.0,,16.67,,52.9,,1.73,,1.16
2025-06-15 00:36:58,2025-06-15,00:36:58,1310.8,,0.0,,21.1,,6.586,,323.1,,1.74,,1.0,
2025-06-15 00:37:19,2025-06-15,00:37:19,,14.4,,65.7,,21.1,,16.749,,43.4,,1.68,,1.3
2025-06-15 00:38:02,2025-06-15,00:38:02,1310.8,,0.0,,21.1,,6.586,,336.6,,1.94,,0.8,
2025-06-15 00:38:22,2025-06-15,00:38:22,,14.3,,65.6,,21.0,,16.644,,46.3,,1.6,,1.29
2025-06-15 00:39:06,2025-06-15,00:39:06,1310.8,,0.0,,21.1,,6.586,,335.5,,1.43,,0.78,
