datetime,date,hour,id_meteo_station,Velocità del vento,dew_point,humidity,temperature,wet_bulb,wind_dir,wind_gust
2025-06-23 00:29:23,2025-06-23,00:29:23,in,0.79,1310.8,0.0,21.6,6.793,330.1,1.1
2025-06-23 00:29:46,2025-06-23,00:29:46,out,1.16,21.1,100.0,21.1,21.119,74.2,1.24
2025-06-23 00:30:26,2025-06-23,00:30:26,in,0.81,1310.8,0.0,21.6,6.793,335.4,1.18
2025-06-23 00:30:50,2025-06-23,00:30:50,out,0.8,21.1,100.0,21.1,21.119,71.2,1.18
2025-06-23 00:31:30,2025-06-23,00:31:30,in,0.92,1310.8,0.0,21.6,6.793,321.3,1.09
2025-06-23 00:31:53,2025-06-23,00:31:53,out,0.64,21.1,100.0,21.1,21.119,77.9,1.01
2025-06-23 00:32:34,2025-06-23,00:32:34,in,1.01,1310.8,0.0,21.6,6.793,333.4,1.19
2025-06-23 00:32:56,2025-06-23,00:32:56,out,0.75,21.1,100.0,21.1,21.119,66.5,0.92
2025-06-23 00:33:37,2025-06-23,00:33:37,in,1.09,1310.8,0.0,21.6,6.793,322.6,1.27
2025-06-23 00:34:00,2025-06-23,00:34:00,out,0.65,21.1,100.0,21.1,21.119,58.8,1.03
2025-06-23 00:34:40,2025-06-23,00:34:40,in,0.87,1310.8,0.0,21.6,6.793,330.4,1.31
2025-06-23 00:35:04,2025-06-23,00:35:04,out,0.68,21.1,100.0,21.1,21.119,84.2,1.05
2025-06-23 00:35:44,2025-06-23,00:35:44,in,0.96,1310.8,0.0,21.6,6.793,327.9,1.62
2025-06-23 00:36:07,2025-06-23,00:36:07,out,0.54,21.1,100.0,21.1,21.119,75.3,0.9
2025-06-23 00:36:48,2025-06-23,00:36:48,in,1.15,1310.8,0.0,21.5,6.752,324.9,1.58
2025-06-23 00:37:10,2025-06-23,00:37:10,out,0.57,21.1,100.0,21.0,21.019,93.3,0.75
2025-06-23 00:37:51,2025-06-23,00:37:51,in,0.76,1310.8,0.0,21.5,6.752,323.2,1.21
2025-06-23 00:38:14,2025-06-23,00:38:14,out,0.4,21.0,100.0,21.0,21.019,103.5,0.79
2025-06-23 00:38:54,2025-06-23,00:38:54,in,0.85,1310.8,0.0,21.5,6.752,320.0,1.5
2025-06-23 00:39:18,2025-06-23,00:39:18,out,0.59,21.0,100.0,21.0,21.019,80.1,0.75
2025-06-23 00:39:58,2025-06-23,00:39:58,in,0.67,1310.8,0.0,21.5,6.752,330.1,1.33
2025-06-23 00:40:21,2025-06-23,00:40:21,out,0.57,21.0,100.0,21.0,21.019,96.4,0.62
2025-06-23 00:41:02,2025-06-23,00:41:02,in,0.69,1310.8,0.0,21.5,6.752,331.7,1.11
2025-06-23 00:41:24,2025-06-23,00:41:24,out,0.45,21.0,100.0,21.0,21.019,108.2,0.67
2025-06-23 00:42:05,2025-06-23,00:42:05,in,0.84,1310.8,0.0,21.5,6.752,328.4,1.29
2025-06-23 00:42:28,2025-06-23,00:42:28,out,0.42,21.0,100.0,21.0,21.019,101.5,0.57
2025-06-23 00:43:08,2025-06-23,00:43:08,in,0.52,1310.8,0.0,21.5,6.752,334.9,1.09
2025-06-23 00:43:32,2025-06-23,00:43:32,out,0.39,21.0,100.0,21.0,21.019,75.3,0.85
2025-06-23 00:44:12,2025-06-23,00:44:12,in,0.95,1310.8,0.0,21.5,6.752,327.1,1.31
2025-06-23 00:44:35,2025-06-23,00:44:35,out,0.64,21.0,100.0,21.0,21.019,64.2,0.81
2025-06-23 00:45:16,2025-06-23,00:45:16,in,0.79,1310.8,0.0,21.5,6.752,326.7,1.49
2025-06-23 00:45:38,2025-06-23,00:45:38,out,0.36,21.0,100.0,21.0,21.019,51.5,0.79
2025-06-23 00:46:19,2025-06-23,00:46:19,in,1.25,1310.8,0.0,21.4,6.71,320.1,1.38
2025-06-23 00:46:42,2025-06-23,00:46:42,out,0.26,20.9,100.0,20.9,20.918,111.0,0.44
2025-06-23 00:47:22,2025-06-23,00:47:22,in,1.06,1310.8,0.0,21.4,6.71,317.2,1.75
2025-06-23 00:47:46,2025-06-23,00:47:46,out,0.63,20.9,100.0,20.9,20.918,79.3,0.7
2025-06-23 00:48:26,2025-06-23,00:48:26,in,1.07,1310.8,0.0,21.4,6.71,317.4,1.59
2025-06-23 00:48:49,2025-06-23,00:48:49,out,0.52,20.9,100.0,20.9,20.918,78.8,0.71
2025-06-23 00:49:30,2025-06-23,00:49:30,in,1.13,1310.8,0.0,21.4,6.71,330.1,1.8
2025-06-23 00:49:53,2025-06-23,00:49:53,out,0.45,20.9,100.0,20.9,20.918,76.7,0.82
2025-06-23 00:50:33,2025-06-23,00:50:33,in,0.96,1310.8,0.0,21.4,6.71,328.7,1.58
2025-06-23 00:50:56,2025-06-23,00:50:56,out,0.31,20.9,100.0,20.9,20.918,60.3,0.45
2025-06-23 00:51:36,2025-06-23,00:51:36,in,1.1,1310.8,0.0,21.4,6.71,326.3,1.77
2025-06-23 00:52:00,2025-06-23,00:52:00,out,0.4,20.8,100.0,20.8,20.817,80.9,0.68
2025-06-23 00:52:40,2025-06-23,00:52:40,in,1.11,1310.8,0.0,21.4,6.71,323.8,1.61
2025-06-23 00:53:03,2025-06-23,00:53:03,out,0.34,20.8,100.0,20.8,20.817,38.8,0.4
2025-06-23 00:53:44,2025-06-23,00:53:44,in,0.47,1310.8,0.0,21.4,6.71,328.5,1.74
2025-06-23 00:54:06,2025-06-23,00:54:06,out,0.37,20.8,100.0,20.8,20.817,23.9,0.56
