datetime;hour;CO2;NH3;CH4;Pressure;date;id_channel
2025-03-31 20:22:54;20:22:54;589.8193986;1.71266097;29.51285889;978.0;2025-03-31;3
2025-03-31 20:26:52;20:26:52;611.0795678;1.7543264;21.05683474;978.06;2025-03-31;3
2025-03-31 20:30:51;20:30:51;671.6355254;2.12776162;32.20157166;978.06;2025-03-31;3
2025-03-31 20:34:48;20:34:48;552.7643994;1.70785885;14.71669108;978.19;2025-03-31;3
2025-03-31 20:38:56;20:38:56;622.3928198;2.35388485;35.80801572;978.19;2025-03-31;3
2025-03-31 20:42:52;20:42:52;658.0814843;1.60037617;14.80321575;978.25;2025-03-31;3
2025-03-31 20:46:50;20:46:50;589.7100919;1.78765874;19.3998199;978.25;2025-03-31;3
2025-03-31 20:50:48;20:50:48;587.7972232;1.51874018;16.74709659;978.25;2025-03-31;3
2025-03-31 20:54:49;20:54:49;555.7703359;1.44021144;10.7421048;978.19;2025-03-31;3
2025-03-31 20:58:46;20:58:46;519.8958498;1.552355;9.35351137;978.06;2025-03-31;3
2025-03-31 21:02:43;21:02:43;586.7588087;1.79966403;18.65303855;978.06;2025-03-31;3
2025-03-31 21:06:40;21:06:40;563.9136912;1.66619342;15.18755321;978.06;2025-03-31;3
2025-03-31 21:10:37;21:10:37;621.9555927;1.96929176;31.27484299;978.19;2025-03-31;3
2025-03-31 21:14:34;21:14:34;538.9097647;1.64966849;15.38549526;978.06;2025-03-31;3
2025-03-31 21:18:35;21:18:35;529.2525104;1.6796111;11.02402226;978.06;2025-03-31;3
2025-03-31 21:22:32;21:22:32;608.0189779;1.59232556;15.7064013;978.0;2025-03-31;3
2025-03-31 21:26:29;21:26:29;562.219436;1.55800455;12.52808188;977.88;2025-03-31;3
2025-03-31 21:30:28;21:30:28;588.8356376;1.60673191;12.96235473;977.88;2025-03-31;3
2025-03-31 21:34:31;21:34:31;643.5436823;1.77819574;18.00822735;977.88;2025-03-31;3
2025-03-31 21:38:33;21:38:33;711.3685408;1.90940653;19.62475404;977.88;2025-03-31;3
2025-03-31 21:42:35;21:42:35;612.9924365;1.668312;16.13827485;977.88;2025-03-31;3
2025-03-31 21:46:36;21:46:36;581.074856;2.00912108;17.66632745;977.88;2025-03-31;3
2025-03-31 21:50:39;21:50:39;649.0636748;1.79669802;22.26997954;977.88;2025-03-31;3
2025-03-31 21:54:36;21:54:36;667.0992939;1.88017011;20.93686986;977.88;2025-03-31;3
2025-03-31 21:58:33;21:58:33;654.5290139;1.86463385;18.64554075;977.88;2025-03-31;3
2025-03-31 22:02:35;22:02:35;630.0442946;2.02974194;17.7488033;977.88;2025-03-31;3
2025-03-31 22:06:37;22:06:37;579.4352543;1.8615266;16.48467343;977.75;2025-03-31;3
2025-03-31 22:10:40;22:10:40;552.6004392;1.92494279;8.63387208;977.88;2025-03-31;3
2025-03-31 22:14:36;22:14:36;592.9346419;1.85488838;13.34099387;977.88;2025-03-31;3
2025-03-31 22:18:33;22:18:33;573.0954609;1.95545036;15.83836266;977.88;2025-03-31;3
2025-03-31 22:22:35;22:22:35;658.7919784;1.76520178;22.33895934;977.88;2025-03-31;3
2025-03-31 22:26:35;22:26:35;693.6608421;1.80700845;28.48266052;977.75;2025-03-31;3
2025-03-31 22:30:35;22:30:35;638.898144;1.81308171;22.56989173;977.75;2025-03-31;3
2025-03-31 22:34:32;22:34:32;558.3936987;1.55433234;11.04441629;977.69;2025-03-31;3
2025-03-31 22:38:29;22:38:29;575.5002101;1.38450688;10.06970168;977.56;2025-03-31;3
2025-03-31 22:42:31;22:42:31;655.4034682;1.74585207;15.48896496;977.56;2025-03-31;3
2025-03-31 22:46:27;22:46:27;717.3257605;2.26222091;27.73138049;977.5;2025-03-31;3
2025-03-31 22:50:28;22:50:28;574.6804093;1.84980378;11.01547476;977.5;2025-03-31;3
2025-03-31 22:54:27;22:54:27;629.1698404;1.92098811;17.36041702;977.38;2025-03-31;3
2025-03-31 22:58:31;22:58:31;673.2204737;2.18439836;27.41947181;977.5;2025-03-31;3
2025-03-31 23:02:29;23:02:29;628.6233064;2.242165;27.32200035;977.5;2025-03-31;3
2025-03-31 23:06:26;23:06:26;603.3187863;1.93087482;15.9598271;977.5;2025-03-31;3
2025-03-31 23:10:24;23:10:24;554.6226147;1.87946392;12.94765904;977.5;2025-03-31;3
2025-03-31 23:14:21;23:14:21;668.0284016;2.31772773;32.76540657;977.5;2025-03-31;3
2025-03-31 23:18:18;23:18:18;574.5164491;1.66223874;10.66187829;977.38;2025-03-31;3
2025-03-31 23:22:20;23:22:20;557.464591;1.60291847;7.97931373;977.25;2025-03-31;3
2025-03-31 23:26:17;23:26:17;570.5814049;1.82381586;12.25756109;977.25;2025-03-31;3
2025-03-31 23:30:14;23:30:14;609.9318466;2.00474268;20.08961793;977.19;2025-03-31;3
2025-03-31 23:34:16;23:34:16;835.6503526;3.23690945;55.62171444;977.19;2025-03-31;3
2025-03-31 23:38:11;23:38:11;786.4076471;2.53339929;39.382969;977.19;2025-03-31;3
2025-03-31 23:42:08;23:42:08;605.8874957;1.79867536;16.82207464;977.19;2025-03-31;3
2025-03-31 23:46:15;23:46:15;651.195157;2.00460144;23.51761424;977.06;2025-03-31;3
2025-03-31 23:50:11;23:50:11;650.5393163;1.90926529;16.77708781;977.06;2025-03-31;3
2025-03-31 23:54:11;23:54:11;618.2391621;1.73554164;15.09158131;977.0;2025-03-31;3
2025-03-31 23:58:13;23:58:13;587.633263;1.82536948;12.58941393;976.88;2025-03-31;3
2025-04-01 00:02:10;00:02:10;605.5049219;2.10841192;17.39490692;976.88;2025-04-01;3
2025-04-01 00:06:06;00:06:06;528.2414227;1.73723651;7.68764912;976.75;2025-04-01;3
2025-04-01 00:10:06;00:10:06;581.7853501;1.71322592;13.4549605;976.75;2025-04-01;3
2025-04-01 00:14:04;00:14:04;595.0661242;1.93214597;13.71633397;976.69;2025-04-01;3
2025-04-01 00:18:11;00:18:11;588.8356376;2.07154861;18.57956006;976.75;2025-04-01;3
2025-04-01 00:22:13;00:22:13;602.6082922;2.08920345;19.24536512;976.75;2025-04-01;3
2025-04-01 00:26:08;00:26:08;598.8372082;1.67918739;11.90036567;976.69;2025-04-01;3
2025-04-01 00:30:08;00:30:08;586.1576214;2.15148973;23.30017791;976.69;2025-04-01;3
2025-04-01 00:34:04;00:34:04;557.4099376;1.71393212;12.08601132;976.69;2025-04-01;3
2025-04-01 00:38:10;00:38:10;576.2107042;1.69670099;13.91247655;976.69;2025-04-01;3
2025-04-01 00:42:11;00:42:11;619.4415367;1.62918887;15.10957605;976.56;2025-04-01;3
2025-04-01 00:46:07;00:46:07;609.0573924;1.49345844;16.60013962;976.56;2025-04-01;3
