Data,Postazione,Unità,Sensore,Misura
2025-06-12 23:54:30,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.69
2025-06-12 23:54:30,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),2.08
2025-06-12 23:53:28,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),13.6
2025-06-12 23:53:27,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),2.04
2025-06-12 23:53:27,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),63.4
2025-06-12 23:53:27,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.8
2025-06-12 23:53:27,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),16.175
2025-06-12 23:53:26,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),57.7
2025-06-12 23:53:26,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.61
2025-06-12 23:52:24,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),63.6
2025-06-12 23:52:24,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.8
2025-06-12 23:52:24,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),16.201
2025-06-12 23:52:24,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),13.6
2025-06-12 23:52:23,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),59.9
2025-06-12 23:52:23,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.57
2025-06-12 23:52:23,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),2.18
2025-06-12 23:51:21,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),13.7
2025-06-12 23:51:20,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),64.0
2025-06-12 23:51:20,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.8
