Data,Postazione,Unità,Sensore,Misura
2025-09-21 23:53:59,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.09
2025-09-21 23:53:59,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.36
2025-09-21 23:52:57,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.3
2025-09-21 23:52:56,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.38
2025-09-21 23:52:56,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.5
2025-09-21 23:52:56,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.8
2025-09-21 23:52:56,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.833
2025-09-21 23:52:55,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),33.0
2025-09-21 23:52:55,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.1
2025-09-21 23:51:53,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.4
2025-09-21 23:51:53,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.8
2025-09-21 23:51:53,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.821
2025-09-21 23:51:53,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.3
2025-09-21 23:51:52,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),33.3
2025-09-21 23:51:52,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.74
2025-09-21 23:51:52,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.2
2025-09-21 23:50:50,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.3
2025-09-21 23:50:49,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.93
2025-09-21 23:50:49,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.4
2025-09-21 23:50:49,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.8
2025-09-21 23:50:49,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.821
2025-09-21 23:50:48,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),14.7
2025-09-21 23:50:48,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.51
2025-09-21 23:49:46,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.3
2025-09-21 23:49:46,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.4
2025-09-21 23:49:46,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.8
2025-09-21 23:49:46,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.821
2025-09-21 23:49:45,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),356.2
2025-09-21 23:49:45,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.4
2025-09-21 23:49:45,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.97
2025-09-21 23:48:43,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.4
2025-09-21 23:48:42,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.3
2025-09-21 23:48:42,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.9
2025-09-21 23:48:42,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.903
2025-09-21 23:48:42,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.3
2025-09-21 23:48:41,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),20.6
2025-09-21 23:48:41,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.84
2025-09-21 23:47:39,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.2
2025-09-21 23:47:39,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.9
2025-09-21 23:47:39,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.891
2025-09-21 23:47:39,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.4
2025-09-21 23:47:38,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),50.0
2025-09-21 23:47:38,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.96
2025-09-21 23:47:38,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.17
2025-09-21 23:46:36,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),14.4
2025-09-21 23:46:35,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),75.1
2025-09-21 23:46:35,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),18.9
2025-09-21 23:46:35,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),15.879
2025-09-21 23:46:35,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.12
