Data,Postazione,Unità,Sensore,Misura
2025-09-20 23:53:39,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.23
2025-09-20 23:53:39,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.78
2025-09-20 23:52:37,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),20.0
2025-09-20 23:52:36,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.6
2025-09-20 23:52:36,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2025-09-20 23:52:36,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.0
2025-09-20 23:52:36,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),20.012
2025-09-20 23:52:35,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),67.6
2025-09-20 23:52:35,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.28
2025-09-20 23:51:33,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2025-09-20 23:51:33,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.0
2025-09-20 23:51:33,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),20.012
2025-09-20 23:51:33,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),20.0
2025-09-20 23:51:32,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),65.3
2025-09-20 23:51:32,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.38
2025-09-20 23:51:32,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.93
2025-09-20 23:50:30,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),20.0
2025-09-20 23:50:29,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.54
2025-09-20 23:50:29,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2025-09-20 23:50:29,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.0
2025-09-20 23:50:29,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),20.012
2025-09-20 23:50:28,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),66.0
2025-09-20 23:50:28,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),1.15
2025-09-20 23:49:26,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),20.0
2025-09-20 23:49:26,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2025-09-20 23:49:26,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.0
2025-09-20 23:49:26,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),20.012
2025-09-20 23:49:25,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),1.3
