Data,Postazione,Unità,Sensore,Misura
2025-09-15 23:53:35,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),22.7
2025-09-15 23:53:35,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),22.731
2025-09-15 23:53:35,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),22.7
2025-09-15 23:53:34,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),57.4
2025-09-15 23:53:34,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.62
2025-09-15 23:53:34,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.8
2025-09-15 23:52:32,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),22.7
2025-09-15 23:52:31,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.94
2025-09-15 23:52:31,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2025-09-15 23:52:31,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),22.7
2025-09-15 23:52:31,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),22.731
2025-09-15 23:52:30,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),42.7
2025-09-15 23:52:30,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.33
2025-09-15 23:51:28,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),100.0
2025-09-15 23:51:28,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),22.7
2025-09-15 23:51:28,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),22.731
2025-09-15 23:51:28,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),22.7
2025-09-15 23:51:27,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),53.6
2025-09-15 23:51:27,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.56
2025-09-15 23:51:27,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.97
