Data,Postazione,Unità,Sensore,Misura
2025-09-23 23:54:26,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.37
2025-09-23 23:54:26,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.44
2025-09-23 23:53:24,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.4
2025-09-23 23:53:23,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),342.9
2025-09-23 23:53:23,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.35
2025-09-23 23:53:23,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.39
2025-09-23 23:53:23,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),90.2
2025-09-23 23:53:23,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.1
2025-09-23 23:53:23,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.894
2025-09-23 23:52:21,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.5
2025-09-23 23:52:20,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),90.1
2025-09-23 23:52:20,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.2
2025-09-23 23:52:20,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.981
2025-09-23 23:52:19,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),324.4
2025-09-23 23:52:19,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.3
2025-09-23 23:52:19,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.36
2025-09-23 23:51:17,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.5
2025-09-23 23:51:17,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),90.0
2025-09-23 23:51:17,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.2
2025-09-23 23:51:17,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.968
2025-09-23 23:51:16,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.44
2025-09-23 23:51:15,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),269.2
2025-09-23 23:51:15,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.3
2025-09-23 23:50:14,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.5
2025-09-23 23:50:13,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),89.9
2025-09-23 23:50:13,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.2
2025-09-23 23:50:13,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.956
2025-09-23 23:50:12,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),291.9
2025-09-23 23:50:12,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.34
2025-09-23 23:50:12,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.67
2025-09-23 23:49:10,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.3
2025-09-23 23:49:09,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),89.2
2025-09-23 23:49:09,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.2
2025-09-23 23:49:09,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.869
2025-09-23 23:49:09,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),315.7
2025-09-23 23:49:09,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.72
2025-09-23 23:49:09,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.83
2025-09-23 23:48:06,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.2
2025-09-23 23:48:06,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.85
2025-09-23 23:48:06,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.5
2025-09-23 23:48:06,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.2
2025-09-23 23:48:06,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.782
2025-09-23 23:48:05,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),309.6
2025-09-23 23:48:05,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.74
2025-09-23 23:47:03,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.2
2025-09-23 23:47:02,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.3
2025-09-23 23:47:02,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.2
2025-09-23 23:47:02,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.757
2025-09-23 23:47:02,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),320.7
2025-09-23 23:47:02,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.51
2025-09-23 23:47:02,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.56
2025-09-23 23:46:00,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.3
2025-09-23 23:45:59,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.2
2025-09-23 23:45:59,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.3
2025-09-23 23:45:59,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.842
2025-09-23 23:45:58,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),251.4
2025-09-23 23:45:58,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.22
2025-09-23 23:45:58,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.39
2025-09-23 23:44:56,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.3
2025-09-23 23:44:55,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.48
2025-09-23 23:44:55,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.3
2025-09-23 23:44:55,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.3
2025-09-23 23:44:55,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.855
2025-09-23 23:44:54,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),231.9
2025-09-23 23:44:54,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.35
2025-09-23 23:43:52,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.32
2025-09-23 23:43:52,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.3
2025-09-23 23:43:52,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.3
2025-09-23 23:43:52,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.855
2025-09-23 23:43:52,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.3
2025-09-23 23:43:51,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),224.1
2025-09-23 23:43:51,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.28
2025-09-23 23:42:49,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.3
2025-09-23 23:42:48,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.23
2025-09-23 23:42:48,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.3
2025-09-23 23:42:48,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),224.3
2025-09-23 23:42:48,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.3
2025-09-23 23:42:48,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.04
2025-09-23 23:42:48,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.855
2025-09-23 23:41:45,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.4
2025-09-23 23:41:45,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.4
2025-09-23 23:41:45,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.4
2025-09-23 23:41:45,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.965
2025-09-23 23:41:44,Uni Catania_1 (1864),Sensore Integrato (64),Direzione vento (1),288.4
2025-09-23 23:41:44,Uni Catania_1 (1864),Sensore Integrato (64),Velocità del vento (0),0.19
2025-09-23 23:41:44,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.27
2025-09-23 23:40:42,Uni Catania_1 (1864),Sensore Integrato (64),Punto di rugiada (5),18.4
2025-09-23 23:40:41,Uni Catania_1 (1864),Sensore Integrato (64),Raffica vento (2),0.33
2025-09-23 23:40:41,Uni Catania_1 (1864),Sensore Integrato (64),Umidità aria (4),88.4
2025-09-23 23:40:41,Uni Catania_1 (1864),Sensore Integrato (64),Temperatura aria (3),20.4
2025-09-23 23:40:41,Uni Catania_1 (1864),Sensore Integrato (64),Bulbo umido (40),18.965
