1,2,3,4,5,6,Timestamp,Entity Name,,NaN,,,,,2025-09-18 10:10:36,DEV_FARM60_TYPE11_ID2
,833,,,,,2025-09-18 12:30:35,DEV_FARM60_TYPE11_ID2
,,700,,,,2025-09-18 12:30:37,DEV_FARM60_TYPE11_ID3
,,,949,,,2025-09-18 12:30:38,DEV_FARM60_TYPE11_ID4
,,,,759,,2025-09-18 12:30:39,DEV_FARM60_TYPE11_ID5
,,,,,873,2025-09-18 12:30:40,DEV_FARM60_TYPE11_ID6
,769,,,,,2025-09-18 12:40:35,DEV_FARM60_TYPE11_ID2
,,688,,,,2025-09-18 12:40:37,DEV_FARM60_TYPE11_ID3
,,,935,,,2025-09-18 12:40:38,DEV_FARM60_TYPE11_ID4
,,,,773,,2025-09-18 12:40:39,DEV_FARM60_TYPE11_ID5
,,,,,887,2025-09-18 12:40:40,DEV_FARM60_TYPE11_ID6
,797,,,,,2025-09-18 12:50:35,DEV_FARM60_TYPE11_ID2
,,701,,,,2025-09-18 12:50:37,DEV_FARM60_TYPE11_ID3
,,,956,,,2025-09-18 12:50:37,DEV_FARM60_TYPE11_ID4
,,,,771,,2025-09-18 12:50:39,DEV_FARM60_TYPE11_ID5
,,,,,882,2025-09-18 12:50:40,DEV_FARM60_TYPE11_ID6
,792,,,,,2025-09-18 13:00:35,DEV_FARM60_TYPE11_ID2
,,705,,,,2025-09-18 13:00:37,DEV_FARM60_TYPE11_ID3
,,,943,,,2025-09-18 13:00:37,DEV_FARM60_TYPE11_ID4
,,,,770,,2025-09-18 13:00:39,DEV_FARM60_TYPE11_ID5
,,,,,879,2025-09-18 13:00:40,DEV_FARM60_TYPE11_ID6
,779,,,,,2025-09-18 13:10:35,DEV_FARM60_TYPE11_ID2
,,681,,,,2025-09-18 13:10:37,DEV_FARM60_TYPE11_ID3
,,,945,,,2025-09-18 13:10:37,DEV_FARM60_TYPE11_ID4
,,,,749,,2025-09-18 13:10:39,DEV_FARM60_TYPE11_ID5
,,,,,908,2025-09-18 13:10:40,DEV_FARM60_TYPE11_ID6
,740,,,,,2025-09-18 13:20:36,DEV_FARM60_TYPE11_ID2
,,709,,,,2025-09-18 13:20:37,DEV_FARM60_TYPE11_ID3
,,,894,,,2025-09-18 13:20:37,DEV_FARM60_TYPE11_ID4
,,,,714,,2025-09-18 13:20:39,DEV_FARM60_TYPE11_ID5
,,,,,891,2025-09-18 13:20:40,DEV_FARM60_TYPE11_ID6
,758,,,,,2025-09-18 13:30:36,DEV_FARM60_TYPE11_ID2
,,685,,,,2025-09-18 13:30:37,DEV_FARM60_TYPE11_ID3
,,,909,,,2025-09-18 13:30:37,DEV_FARM60_TYPE11_ID4
,,,,734,,2025-09-18 13:30:39,DEV_FARM60_TYPE11_ID5
,811,,,,,2025-09-18 13:40:36,DEV_FARM60_TYPE11_ID2
,,685,,,,2025-09-18 13:40:37,DEV_FARM60_TYPE11_ID3
,,,951,,,2025-09-18 13:40:38,DEV_FARM60_TYPE11_ID4
,,,,780,,2025-09-18 13:40:39,DEV_FARM60_TYPE11_ID5
,777,,,,,2025-09-18 13:50:36,DEV_FARM60_TYPE11_ID2
,,677,,,,2025-09-18 13:50:37,DEV_FARM60_TYPE11_ID3
,,,944,,,2025-09-18 13:50:39,DEV_FARM60_TYPE11_ID4
,,,,759,,2025-09-18 13:50:39,DEV_FARM60_TYPE11_ID5
,746,,,,,2025-09-18 14:00:36,DEV_FARM60_TYPE11_ID2
,,687,,,,2025-09-18 14:00:37,DEV_FARM60_TYPE11_ID3
,,,931,,,2025-09-18 14:00:37,DEV_FARM60_TYPE11_ID4
,,,,746,,2025-09-18 14:00:39,DEV_FARM60_TYPE11_ID5
,770,,,,,2025-09-18 14:10:36,DEV_FARM60_TYPE11_ID2
,,688,,,,2025-09-18 14:10:37,DEV_FARM60_TYPE11_ID3
,,,946,,,2025-09-18 14:10:38,DEV_FARM60_TYPE11_ID4
,,,,764,,2025-09-18 14:10:39,DEV_FARM60_TYPE11_ID5
,744,,,,,2025-09-18 14:20:36,DEV_FARM60_TYPE11_ID2
,,667,,,,2025-09-18 14:20:37,DEV_FARM60_TYPE11_ID3
,,,929,,,2025-09-18 14:20:38,DEV_FARM60_TYPE11_ID4
,,,,757,,2025-09-18 14:20:39,DEV_FARM60_TYPE11_ID5
,754,,,,,2025-09-18 14:30:36,DEV_FARM60_TYPE11_ID2
,,672,,,,2025-09-18 14:30:37,DEV_FARM60_TYPE11_ID3
,,,929,,,2025-09-18 14:30:38,DEV_FARM60_TYPE11_ID4
,,,,733,,2025-09-18 14:30:39,DEV_FARM60_TYPE11_ID5
,736,,,,,2025-09-18 14:40:36,DEV_FARM60_TYPE11_ID2
,,672,,,,2025-09-18 14:40:37,DEV_FARM60_TYPE11_ID3
,,,942,,,2025-09-18 14:40:38,DEV_FARM60_TYPE11_ID4
,,,,729,,2025-09-18 14:40:38,DEV_FARM60_TYPE11_ID5
,699,,,,,2025-09-18 14:50:36,DEV_FARM60_TYPE11_ID2
,,662,,,,2025-09-18 14:50:37,DEV_FARM60_TYPE11_ID3
,,,936,,,2025-09-18 14:50:38,DEV_FARM60_TYPE11_ID4
,,,,746,,2025-09-18 14:50:38,DEV_FARM60_TYPE11_ID5
,776,,,,,2025-09-18 15:00:36,DEV_FARM60_TYPE11_ID2
,,673,,,,2025-09-18 15:00:37,DEV_FARM60_TYPE11_ID3
,,,941,,,2025-09-18 15:00:38,DEV_FARM60_TYPE11_ID4
,,,,746,,2025-09-18 15:00:38,DEV_FARM60_TYPE11_ID5
,812,,,,,2025-09-18 15:10:36,DEV_FARM60_TYPE11_ID2
,,705,,,,2025-09-18 15:10:37,DEV_FARM60_TYPE11_ID3
,,,933,,,2025-09-18 15:10:38,DEV_FARM60_TYPE11_ID4
,,,,771,,2025-09-18 15:10:38,DEV_FARM60_TYPE11_ID5
,712,,,,,2025-09-18 15:20:36,DEV_FARM60_TYPE11_ID2
,,635,,,,2025-09-18 15:20:37,DEV_FARM60_TYPE11_ID3
,,,916,,,2025-09-18 15:20:38,DEV_FARM60_TYPE11_ID4
,,,,726,,2025-09-18 15:20:39,DEV_FARM60_TYPE11_ID5
,723,,,,,2025-09-18 15:30:36,DEV_FARM60_TYPE11_ID2
,,640,,,,2025-09-18 15:30:37,DEV_FARM60_TYPE11_ID3
,,,887,,,2025-09-18 15:30:38,DEV_FARM60_TYPE11_ID4
,,,,694,,2025-09-18 15:30:39,DEV_FARM60_TYPE11_ID5
,745,,,,,2025-09-18 15:40:36,DEV_FARM60_TYPE11_ID2
,,636,,,,2025-09-18 15:40:37,DEV_FARM60_TYPE11_ID3
,,,925,,,2025-09-18 15:40:38,DEV_FARM60_TYPE11_ID4
,,,,693,,2025-09-18 15:40:39,DEV_FARM60_TYPE11_ID5
,865,,,,,2025-09-18 15:50:36,DEV_FARM60_TYPE11_ID2
,,663,,,,2025-09-18 15:50:37,DEV_FARM60_TYPE11_ID3
,,,1 037,,,2025-09-18 15:50:38,DEV_FARM60_TYPE11_ID4
,,,,755,,2025-09-18 15:50:39,DEV_FARM60_TYPE11_ID5
,881,,,,,2025-09-18 16:00:36,DEV_FARM60_TYPE11_ID2
,,726,,,,2025-09-18 16:00:37,DEV_FARM60_TYPE11_ID3
,,,1 070,,,2025-09-18 16:00:38,DEV_FARM60_TYPE11_ID4
,,,,786,,2025-09-18 16:00:39,DEV_FARM60_TYPE11_ID5
,852,,,,,2025-09-18 16:10:36,DEV_FARM60_TYPE11_ID2
,,723,,,,2025-09-18 16:10:37,DEV_FARM60_TYPE11_ID3
,,,1 044,,,2025-09-18 16:10:38,DEV_FARM60_TYPE11_ID4
,,,,791,,2025-09-18 16:10:39,DEV_FARM60_TYPE11_ID5
,937,,,,,2025-09-18 16:20:36,DEV_FARM60_TYPE11_ID2
,,662,,,,2025-09-18 16:20:37,DEV_FARM60_TYPE11_ID3
,,,1 051,,,2025-09-18 16:20:38,DEV_FARM60_TYPE11_ID4
,,,,752,,2025-09-18 16:20:39,DEV_FARM60_TYPE11_ID5
,899,,,,,2025-09-18 16:30:36,DEV_FARM60_TYPE11_ID2
,,648,,,,2025-09-18 16:30:36,DEV_FARM60_TYPE11_ID3
,,,980,,,2025-09-18 16:30:38,DEV_FARM60_TYPE11_ID4
,,,,704,,2025-09-18 16:30:38,DEV_FARM60_TYPE11_ID5
,865,,,,,2025-09-18 16:40:35,DEV_FARM60_TYPE11_ID2
,,634,,,,2025-09-18 16:40:35,DEV_FARM60_TYPE11_ID3
,,,963,,,2025-09-18 16:40:37,DEV_FARM60_TYPE11_ID4
,,,,699,,2025-09-18 16:40:38,DEV_FARM60_TYPE11_ID5
,859,,,,,2025-09-18 16:50:35,DEV_FARM60_TYPE11_ID2
,,648,,,,2025-09-18 16:50:35,DEV_FARM60_TYPE11_ID3
,,,1 045,,,2025-09-18 16:50:37,DEV_FARM60_TYPE11_ID4
,,,,738,,2025-09-18 16:50:38,DEV_FARM60_TYPE11_ID5
,832,,,,,2025-09-18 17:00:35,DEV_FARM60_TYPE11_ID2
,,663,,,,2025-09-18 17:00:35,DEV_FARM60_TYPE11_ID3
,,,1 031,,,2025-09-18 17:00:37,DEV_FARM60_TYPE11_ID4
,,,,759,,2025-09-18 17:00:38,DEV_FARM60_TYPE11_ID5
,843,,,,,2025-09-18 17:10:35,DEV_FARM60_TYPE11_ID2
,,649,,,,2025-09-18 17:10:36,DEV_FARM60_TYPE11_ID3
,,,1 014,,,2025-09-18 17:10:37,DEV_FARM60_TYPE11_ID4
,,,,774,,2025-09-18 17:10:38,DEV_FARM60_TYPE11_ID5
,750,,,,,2025-09-18 17:20:35,DEV_FARM60_TYPE11_ID2
,,635,,,,2025-09-18 17:20:36,DEV_FARM60_TYPE11_ID3
,,,932,,,2025-09-18 17:20:37,DEV_FARM60_TYPE11_ID4
,,,,708,,2025-09-18 17:20:38,DEV_FARM60_TYPE11_ID5
,799,,,,,2025-09-18 17:30:36,DEV_FARM60_TYPE11_ID2
,,629,,,,2025-09-18 17:30:37,DEV_FARM60_TYPE11_ID3
,,,982,,,2025-09-18 17:30:38,DEV_FARM60_TYPE11_ID4
,,,,704,,2025-09-18 17:30:39,DEV_FARM60_TYPE11_ID5
,874,,,,,2025-09-18 17:40:36,DEV_FARM60_TYPE11_ID2
,,650,,,,2025-09-18 17:40:37,DEV_FARM60_TYPE11_ID3
,,,1 017,,,2025-09-18 17:40:38,DEV_FARM60_TYPE11_ID4
,,,,697,,2025-09-18 17:40:39,DEV_FARM60_TYPE11_ID5
