1,2,3,4,5,6,Timestamp,Entity Name,,NaN,,,,,2025-09-18 10:10:36,DEV_FARM60_TYPE11_ID2
,,"29,8",,,,2025-09-18 12:20:37,DEV_FARM60_TYPE11_ID3
,,,29,,,2025-09-18 12:20:38,DEV_FARM60_TYPE11_ID4
,,,,30,,2025-09-18 12:20:39,DEV_FARM60_TYPE11_ID5
,,,,,"29,8",2025-09-18 12:20:40,DEV_FARM60_TYPE11_ID6
,"29,1",,,,,2025-09-18 12:30:35,DEV_FARM60_TYPE11_ID2
,,"30,3",,,,2025-09-18 12:30:37,DEV_FARM60_TYPE11_ID3
,,,"29,5",,,2025-09-18 12:30:38,DEV_FARM60_TYPE11_ID4
,,,,"30,6",,2025-09-18 12:30:39,DEV_FARM60_TYPE11_ID5
,,,,,"30,5",2025-09-18 12:30:40,DEV_FARM60_TYPE11_ID6
,"29,8",,,,,2025-09-18 12:40:35,DEV_FARM60_TYPE11_ID2
,,"31,5",,,,2025-09-18 12:40:37,DEV_FARM60_TYPE11_ID3
,,,"30,4",,,2025-09-18 12:40:38,DEV_FARM60_TYPE11_ID4
,,,,32,,2025-09-18 12:40:39,DEV_FARM60_TYPE11_ID5
,,,,,"31,9",2025-09-18 12:40:40,DEV_FARM60_TYPE11_ID6
,"30,1",,,,,2025-09-18 12:50:35,DEV_FARM60_TYPE11_ID2
,,"31,7",,,,2025-09-18 12:50:37,DEV_FARM60_TYPE11_ID3
,,,"30,6",,,2025-09-18 12:50:37,DEV_FARM60_TYPE11_ID4
,,,,"32,3",,2025-09-18 12:50:39,DEV_FARM60_TYPE11_ID5
,,,,,"32,2",2025-09-18 12:50:40,DEV_FARM60_TYPE11_ID6
,"29,8",,,,,2025-09-18 13:00:35,DEV_FARM60_TYPE11_ID2
,,"31,2",,,,2025-09-18 13:00:37,DEV_FARM60_TYPE11_ID3
,,,"30,1",,,2025-09-18 13:00:37,DEV_FARM60_TYPE11_ID4
,,,,"31,7",,2025-09-18 13:00:39,DEV_FARM60_TYPE11_ID5
,,,,,"31,7",2025-09-18 13:00:40,DEV_FARM60_TYPE11_ID6
,"29,6",,,,,2025-09-18 13:10:35,DEV_FARM60_TYPE11_ID2
