datetime;id_rabbit;e_PM_2.5;r_PM_2.5;r_umidity;r_temperature;st_8h_mean;st_8h_std;st_8h_rms;st_8h_median;st_8h_min;st_8h_max;st_8h_diff_last;st_8h_slope;st_12h_mean;st_12h_std;st_12h_rms;st_12h_median;st_12h_min;st_12h_max;st_12h_diff_last;st_12h_slope;st_24h_mean;st_24h_std;st_24h_rms;st_24h_median;st_24h_min;st_24h_max;st_24h_diff_last;st_24h_slope;wl_8h_D1_energy;wl_8h_A_energy;wl_8h_A_rms;wl_8h_D1_energy_rel;wl_8h_A_energy_rel;wl_12h_D1_energy;wl_12h_A_energy;wl_12h_A_rms;wl_12h_D1_energy_rel;wl_12h_A_energy_rel;wl_12h_D2_energy;wl_12h_D2_energy_rel;wl_24h_D1_energy;wl_24h_D2_energy;wl_24h_A_energy;wl_24h_A_rms;wl_24h_D1_energy_rel;wl_24h_D2_energy_rel;wl_24h_A_energy_rel;wl_24h_D3_energy;wl_24h_D3_energy_rel;fft_8h_fft_f1_cph;fft_8h_fft_period1_h;fft_8h_fft_power1;fft_8h_fft_f2_cph;fft_8h_fft_period2_h;fft_8h_fft_power2;fft_12h_fft_f1_cph;fft_12h_fft_period1_h;fft_12h_fft_power1;fft_12h_fft_f2_cph;fft_12h_fft_period2_h;fft_12h_fft_power2;fft_12h_fft_f3_cph;fft_12h_fft_period3_h;fft_12h_fft_power3;fft_8h_fft_f3_cph;fft_8h_fft_period3_h;fft_8h_fft_power3;fft_24h_fft_f1_cph;fft_24h_fft_period1_h;fft_24h_fft_power1;fft_24h_fft_f2_cph;fft_24h_fft_period2_h;fft_24h_fft_power2;fft_24h_fft_f3_cph;fft_24h_fft_period3_h;fft_24h_fft_power3
2025-03-13 13:00:00;5;21.31;3.0;56.0;22.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 14:00:00;5;14.92;4.25;49.12;23.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 15:00:00;5;20.83;3.75;51.0;23.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 16:00:00;5;19.11;2.75;54.72;22.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 17:00:00;5;13.38;2.75;53.75;21.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 18:00:00;5;17.18;5.0;56.15;19.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 19:00:00;5;12.48;2.75;66.07;16.85;17.78833333333333;2.9277831014077673;18.027665313807738;18.145;13.38;21.31;3.799999999999999;-0.7711428571428571;;;;;;;;;;;;;;;;;10.44636445281883;661.7076658681915;1.8758433050446703;0.015541622874491744;0.9844583771255083;;;;;;;;;;;;;;;;;0.3333333333333333;3.0;123.49329999999998;0.5;2.0;18.57609999999999;;;;;;;;;;;;;;;;;;;;;
2025-03-13 20:00:00;5;17.45;14.5;71.6;14.7;17.029999999999998;3.285996261192551;17.3441249830763;17.18;12.48;21.31;-4.699999999999999;-1.0507142857142884;;;;;;;;;;;;;;;;;9.993591562255064;590.0297926945533;3.381331275942228;0.01665533681596955;0.9833446631840304;;;;;;;;;;;;;;;;;0.42857142857142855;2.3333333333333335;185.7902208719152;0.2857142857142857;3.5;15.076222468171064;;;;;;;;;;;;;;;;;;;;;
2025-03-13 21:00:00;5;14.27;18.25;75.0;13.42;17.0825;3.0769048977828346;17.357394677773506;17.314999999999998;12.48;21.31;4.969999999999999;-0.6654761904761907;;;;;;;;;;;;;;;;;11.676025248667887;620.4310591266849;2.4027696392621625;0.018471593717710216;0.9815284062822898;;;;;;;;;;;;;;;;;0.375;2.6666666666666665;191.51748706199422;;;;;;;;;;;;;;;;;;;;;;;;
2025-03-13 22:00:00;5;10.31;21.25;77.67;12.43;16.2025;2.7290554684725623;16.430725790420823;16.05;12.48;20.83;-3.1799999999999997;-0.4469047619047625;16.77;3.032600644111694;17.041994210381212;17.18;12.48;21.31;-3.1799999999999997;-0.6533333333333352;;;;;;;;;8.179241977440212;535.3254645915823;2.251510870706762;0.015049072949290985;0.984950927050709;10.295293957223238;584.3382430222374;2.6831639143814723;0.01731367862216431;0.9826863213778356;;;;;;;;;;;;0.375;2.6666666666666665;90.39691822389645;;;;0.4444444444444444;2.25;218.45957958438845;0.3333333333333333;3.0;47.07389999999997;0.2222222222222222;4.5;6.1688304709557205;;;;;;;;;;;;
